input_method,input_seed,input_round,input_parameter_id,input_t_lead,input_delta_T_thr,input_G_ext,input_Q_ratio,input_tau,output_delay_A_sec,output_delay_N_sec,weight_A,weight_N,weight_ratio,score,measured_T_free_EMV_sec,measured_T_actual_EMV_sec,measured_d_EMV_sec,measured_d_veh_sec,measured_general_mean_travel_time_sec,stage2_on_count,stage3_on_count
Random Search,20260607,3,rs_r03_003_tl6_dt59_ge9_qr74_tau71,6,59,9,0.74,0.71,137.92,74.69,10.00,1.00,10:1,132.17,219.08016,357.0,137.91984,74.686,134.070064,0,45
Random Search,20260607,3,rs_r03_004_tl44_dt244_ge32_qr98_tau82,44,244,32,0.98,0.82,178.92,77.38,10.00,1.00,10:1,169.69,219.08016,398.0,178.91984,77.383176,135.041298,0,33
Random Search,20260607,3,rs_r03_005_tl29_dt166_ge20_qr24_tau83,29,166,20,0.24,0.83,142.92,90.70,10.00,1.00,10:1,138.17,219.08016,362.0,142.91984,90.696665,188.074141,1,35
Random Search,20260607,3,rs_r03_006_tl76_dt49_ge7_qr96_tau84,76,49,7,0.96,0.84,249.92,97.43,10.00,1.00,10:1,236.06,219.08016,469.0,249.91984,97.429797,162.0575,0,64
Random Search,20260607,4,rs_r04_001_tl100_dt73_ge16_qr56_tau88,100,73,16,0.56,0.88,390.92,83.20,10.00,1.00,10:1,362.95,219.08016,610.0,390.91984,83.198369,170.456033,0,62
Random Search,20260607,4,rs_r04_002_tl79_dt73_ge27_qr72_tau76,79,73,27,0.72,0.76,280.92,90.41,10.00,1.00,10:1,263.60,219.08016,500.0,280.91984,90.410739,192.477021,0,38
Random Search,20260607,4,rs_r04_003_tl49_dt80_ge2_qr65_tau75,49,80,2,0.65,0.75,314.92,93.65,10.00,1.00,10:1,294.80,219.08016,534.0,314.91984,93.646723,159.473451,0,96
Random Search,20260607,4,rs_r04_004_tl102_dt25_ge35_qr32_tau88,102,25,35,0.32,0.88,138.92,77.81,10.00,1.00,10:1,133.36,219.08016,358.0,138.91984,77.80767,136.824281,0,19
Random Search,20260607,4,rs_r04_005_tl60_dt232_ge34_qr18_tau80,60,232,34,0.18,0.8,319.92,88.95,10.00,1.00,10:1,298.92,219.08016,539.0,319.91984,88.946059,178.930894,1,39
Random Search,20260607,4,rs_r04_006_tl11_dt218_ge44_qr0_tau72,11,218,44,0.0,0.72,195.92,82.57,10.00,1.00,10:1,185.61,219.08016,415.0,195.91984,82.566392,146.231198,1,27
Random Search,20260607,5,rs_r05_001_tl76_dt212_ge40_qr30_tau72,76,212,40,0.3,0.72,329.92,98.27,10.00,1.00,10:1,308.86,219.08016,549.0,329.91984,98.265201,208.61746,1,37
Random Search,20260607,5,rs_r05_002_tl122_dt114_ge19_qr92_tau72,122,114,19,0.92,0.72,394.92,86.14,10.00,1.00,10:1,366.85,219.08016,614.0,394.91984,86.138978,171.014,0,63
Random Search,20260607,5,rs_r05_003_tl22_dt124_ge43_qr63_tau86,22,124,43,0.63,0.86,256.92,80.52,10.00,1.00,10:1,240.88,219.08016,476.0,256.91984,80.518914,151.385,0,29
Random Search,20260607,5,rs_r05_004_tl6_dt161_ge33_qr26_tau82,6,161,33,0.26,0.82,167.92,91.80,10.00,1.00,10:1,161.00,219.08016,387.0,167.91984,91.798259,138.462908,1,32
Random Search,20260607,5,rs_r05_005_tl53_dt56_ge20_qr11_tau83,53,56,20,0.11,0.83,166.92,82.85,10.00,1.00,10:1,159.28,219.08016,386.0,166.91984,82.846189,141.447439,1,40
Random Search,20260607,5,rs_r05_006_tl75_dt157_ge11_qr44_tau86,75,157,11,0.44,0.86,320.92,82.28,10.00,1.00,10:1,299.23,219.08016,540.0,320.91984,82.283101,158.716102,0,67
Random Search,20260607,6,rs_r06_001_tl46_dt192_ge42_qr0_tau71,46,192,42,0.0,0.71,296.92,81.08,10.00,1.00,10:1,277.30,219.08016,516.0,296.91984,81.078306,150.876126,1,36
Random Search,20260607,6,rs_r06_002_tl111_dt123_ge48_qr58_tau90,111,123,48,0.58,0.9,303.92,80.26,10.00,1.00,10:1,283.59,219.08016,523.0,303.91984,80.258975,164.523913,0,32
Random Search,20260607,6,rs_r06_003_tl5_dt81_ge41_qr17_tau85,5,81,41,0.17,0.85,150.92,94.01,10.00,1.00,10:1,145.75,219.08016,370.0,150.91984,94.007584,140.949468,1,23
Random Search,20260607,6,rs_r06_004_tl28_dt35_ge2_qr93_tau70,28,35,2,0.93,0.7,137.92,77.20,10.00,1.00,10:1,132.40,219.08016,357.0,137.91984,77.195045,143.59587,0,49
Random Search,20260607,6,rs_r06_005_tl68_dt113_ge20_qr57_tau72,68,113,20,0.57,0.72,273.92,97.81,10.00,1.00,10:1,257.91,219.08016,493.0,273.91984,97.811686,161.114014,0,51
Random Search,20260607,6,rs_r06_006_tl27_dt5_ge14_qr40_tau87,27,5,14,0.4,0.87,266.92,79.29,10.00,1.00,10:1,249.86,219.08016,486.0,266.91984,79.286847,158.378251,0,20
Random Search,20260607,7,rs_r07_001_tl76_dt228_ge7_qr1_tau77,76,228,7,0.01,0.77,366.92,83.15,10.00,1.00,10:1,341.12,219.08016,586.0,366.91984,83.148841,172.843373,1,81
Random Search,20260607,7,rs_r07_002_tl10_dt107_ge8_qr98_tau73,10,107,8,0.98,0.73,297.92,103.02,10.00,1.00,10:1,280.20,219.08016,517.0,297.91984,103.023048,168.949187,0,71
Random Search,20260607,7,rs_r07_003_tl50_dt49_ge36_qr85_tau84,50,49,36,0.85,0.84,194.92,75.02,10.00,1.00,10:1,184.02,219.08016,414.0,194.91984,75.018152,140.412698,0,30
Random Search,20260607,7,rs_r07_004_tl81_dt31_ge26_qr88_tau71,81,31,26,0.88,0.71,137.92,88.13,10.00,1.00,10:1,133.39,219.08016,357.0,137.91984,88.133975,155.353741,0,28
Random Search,20260607,7,rs_r07_005_tl69_dt127_ge27_qr15_tau85,69,127,27,0.15,0.85,288.92,84.66,10.00,1.00,10:1,270.35,219.08016,508.0,288.91984,84.663271,157.822014,1,43
Random Search,20260607,7,rs_r07_006_tl64_dt47_ge9_qr93_tau77,64,47,9,0.93,0.77,291.92,103.02,10.00,1.00,10:1,274.75,219.08016,511.0,291.91984,103.020614,175.569672,0,61
Random Search,20260607,8,rs_r08_001_tl19_dt205_ge50_qr83_tau76,19,205,50,0.83,0.76,313.92,75.36,10.00,1.00,10:1,292.23,219.08016,533.0,313.91984,75.359316,159.559322,0,31
Random Search,20260607,8,rs_r08_002_tl116_dt237_ge12_qr57_tau90,116,237,12,0.57,0.9,352.92,89.36,10.00,1.00,10:1,328.96,219.08016,572.0,352.91984,89.356282,160.784188,0,68
Random Search,20260607,8,rs_r08_003_tl62_dt173_ge48_qr37_tau83,62,173,48,0.37,0.83,303.92,80.26,10.00,1.00,10:1,283.59,219.08016,523.0,303.91984,80.258975,164.523913,0,32
Random Search,20260607,8,rs_r08_004_tl74_dt50_ge33_qr41_tau84,74,50,33,0.41,0.84,238.92,75.86,10.00,1.00,10:1,224.10,219.08016,458.0,238.91984,75.862261,143.816537,0,31
Random Search,20260607,8,rs_r08_005_tl40_dt196_ge41_qr62_tau90,40,196,41,0.62,0.9,241.92,77.60,10.00,1.00,10:1,226.98,219.08016,461.0,241.91984,77.600402,134.731579,0,32
Random Search,20260607,8,rs_r08_006_tl17_dt241_ge43_qr2_tau84,17,241,43,0.02,0.84,90.92,84.55,10.00,1.00,10:1,90.34,219.08016,310.0,90.91984,84.54725,129.073684,1,24
Random Search,20260607,9,rs_r09_001_tl12_dt225_ge30_qr46_tau88,12,225,30,0.46,0.88,144.92,79.72,10.00,1.00,10:1,138.99,219.08016,364.0,144.91984,79.718783,136.204268,0,27
Random Search,20260607,9,rs_r09_002_tl90_dt113_ge22_qr30_tau84,90,113,22,0.3,0.84,170.92,84.52,10.00,1.00,10:1,163.07,219.08016,390.0,170.91984,84.524155,139.120235,1,38
Random Search,20260607,9,rs_r09_003_tl71_dt81_ge10_qr85_tau83,71,81,10,0.85,0.83,441.92,94.90,10.00,1.00,10:1,410.37,219.08016,661.0,441.91984,94.900474,173.350181,0,87
Random Search,20260607,9,rs_r09_004_tl113_dt238_ge44_qr78_tau80,113,238,44,0.78,0.8,248.92,80.57,10.00,1.00,10:1,233.62,219.08016,468.0,248.91984,80.572424,140.334225,0,29
Random Search,20260607,9,rs_r09_005_tl81_dt108_ge22_qr65_tau81,81,108,22,0.65,0.81,307.92,97.10,10.00,1.00,10:1,288.75,219.08016,527.0,307.91984,97.097793,183.536346,0,49
Random Search,20260607,9,rs_r09_006_tl40_dt220_ge2_qr31_tau85,40,220,2,0.31,0.85,258.92,89.98,10.00,1.00,10:1,243.56,219.08016,478.0,258.91984,89.975269,174.693069,0,87
Random Search,20260607,10,rs_r10_001_tl6_dt162_ge24_qr64_tau72,6,162,24,0.64,0.72,289.92,82.66,10.00,1.00,10:1,271.08,219.08016,509.0,289.91984,82.659602,151.769976,0,46
Random Search,20260607,10,rs_r10_002_tl32_dt156_ge7_qr55_tau71,32,156,7,0.55,0.71,284.92,88.22,10.00,1.00,10:1,267.04,219.08016,504.0,284.91984,88.223185,165.447894,0,73
Random Search,20260607,10,rs_r10_003_tl27_dt56_ge2_qr52_tau87,27,56,2,0.52,0.87,290.92,90.46,10.00,1.00,10:1,272.70,219.08016,510.0,290.91984,90.461611,181.547872,0,87
Random Search,20260607,10,rs_r10_004_tl32_dt39_ge7_qr70_tau74,32,39,7,0.7,0.74,197.92,77.95,10.00,1.00,10:1,187.01,219.08016,417.0,197.91984,77.952435,150.775309,0,54
Random Search,20260607,10,rs_r10_005_tl38_dt207_ge10_qr72_tau70,38,207,10,0.72,0.7,363.92,90.76,10.00,1.00,10:1,339.09,219.08016,583.0,363.91984,90.759106,179.015238,0,76
Random Search,20260607,10,rs_r10_006_tl50_dt113_ge21_qr41_tau71,50,113,21,0.41,0.71,413.92,85.83,10.00,1.00,10:1,384.09,219.08016,633.0,413.91984,85.833814,167.620553,0,60
Random Search,20260607,11,rs_r11_001_tl95_dt93_ge32_qr51_tau74,95,93,32,0.51,0.74,316.92,91.59,10.00,1.00,10:1,296.44,219.08016,536.0,316.91984,91.588261,155.846154,0,40
Random Search,20260607,11,rs_r11_002_tl121_dt211_ge14_qr93_tau86,121,211,14,0.93,0.86,319.92,82.27,10.00,1.00,10:1,298.32,219.08016,539.0,319.91984,82.267256,155.045045,0,61
Random Search,20260607,11,rs_r11_003_tl97_dt180_ge5_qr35_tau89,97,180,5,0.35,0.89,290.92,100.47,10.00,1.00,10:1,273.61,219.08016,510.0,290.91984,100.465322,152.204433,0,83
Random Search,20260607,11,rs_r11_004_tl10_dt98_ge38_qr61_tau70,10,98,38,0.61,0.7,142.92,71.92,10.00,1.00,10:1,136.47,219.08016,362.0,142.91984,71.923989,135.563291,0,24
Random Search,20260607,11,rs_r11_005_tl79_dt183_ge0_qr85_tau84,79,183,0,0.85,0.84,222.92,89.47,10.00,1.00,10:1,210.79,219.08016,442.0,222.91984,89.4686,165.575904,0,97
Random Search,20260607,11,rs_r11_006_tl92_dt203_ge5_qr75_tau86,92,203,5,0.75,0.86,290.92,100.47,10.00,1.00,10:1,273.61,219.08016,510.0,290.91984,100.465322,152.204433,0,83
Random Search,20260607,12,rs_r12_001_tl14_dt5_ge40_qr20_tau81,14,5,40,0.2,0.81,161.92,93.25,10.00,1.00,10:1,155.68,219.08016,381.0,161.91984,93.252969,147.767568,1,18
Random Search,20260607,12,rs_r12_002_tl68_dt65_ge26_qr14_tau83,68,65,26,0.14,0.83,262.92,85.43,10.00,1.00,10:1,246.78,219.08016,482.0,262.91984,85.430948,155.060386,1,43
Random Search,20260607,12,rs_r12_003_tl91_dt242_ge8_qr42_tau81,91,242,8,0.42,0.81,316.92,89.86,10.00,1.00,10:1,296.28,219.08016,536.0,316.91984,89.858334,165.096983,0,76
Random Search,20260607,12,rs_r12_004_tl6_dt98_ge12_qr100_tau90,6,98,12,1.0,0.9,157.92,81.52,10.00,1.00,10:1,150.97,219.08016,377.0,157.91984,81.524972,137.975,0,47
Random Search,20260607,12,rs_r12_005_tl92_dt218_ge48_qr37_tau74,92,218,48,0.37,0.74,303.92,80.26,10.00,1.00,10:1,283.59,219.08016,523.0,303.91984,80.258975,164.523913,0,32
Random Search,20260607,12,rs_r12_006_tl51_dt117_ge1_qr40_tau78,51,117,1,0.4,0.78,308.92,91.39,10.00,1.00,10:1,289.14,219.08016,528.0,308.91984,91.387842,159.786848,0,102
Random Search,20260607,13,rs_r13_001_tl13_dt102_ge39_qr42_tau70,13,102,39,0.42,0.7,354.92,89.92,10.00,1.00,10:1,330.83,219.08016,574.0,354.91984,89.92041,176.082517,0,37
Random Search,20260607,13,rs_r13_002_tl1_dt149_ge45_qr76_tau90,1,149,45,0.76,0.9,139.92,91.71,10.00,1.00,10:1,135.54,219.08016,359.0,139.91984,91.707553,181.565737,0,25
Random Search,20260607,13,rs_r13_003_tl10_dt62_ge40_qr52_tau86,10,62,40,0.52,0.86,189.92,76.81,10.00,1.00,10:1,179.64,219.08016,409.0,189.91984,76.810721,135.115591,0,29
Random Search,20260607,13,rs_r13_004_tl121_dt19_ge35_qr37_tau79,121,19,35,0.37,0.79,144.92,79.19,10.00,1.00,10:1,138.94,219.08016,364.0,144.91984,79.188933,146.939481,0,19
Random Search,20260607,13,rs_r13_005_tl82_dt160_ge24_qr83_tau85,82,160,24,0.83,0.85,316.92,76.38,10.00,1.00,10:1,295.05,219.08016,536.0,316.91984,76.377989,163.388286,0,46
Random Search,20260607,13,rs_r13_006_tl62_dt195_ge20_qr33_tau87,62,195,20,0.33,0.87,286.92,89.78,10.00,1.00,10:1,269.00,219.08016,506.0,286.91984,89.778193,162.891509,0,47
Random Search,20260607,14,rs_r14_001_tl108_dt73_ge7_qr17_tau85,108,73,7,0.17,0.85,364.92,98.65,10.00,1.00,10:1,340.71,219.08016,584.0,364.91984,98.651366,157.438596,1,84
Random Search,20260607,14,rs_r14_002_tl62_dt200_ge28_qr78_tau76,62,200,28,0.78,0.76,290.92,74.86,10.00,1.00,10:1,271.28,219.08016,510.0,290.91984,74.86131,157.393103,0,40
Random Search,20260607,14,rs_r14_003_tl118_dt166_ge34_qr52_tau78,118,166,34,0.52,0.78,364.92,87.44,10.00,1.00,10:1,339.69,219.08016,584.0,364.91984,87.444657,171.879845,0,42
Random Search,20260607,14,rs_r14_004_tl4_dt172_ge19_qr58_tau89,4,172,19,0.58,0.89,240.92,88.86,10.00,1.00,10:1,227.10,219.08016,460.0,240.91984,88.85875,156.226872,0,46
Random Search,20260607,14,rs_r14_005_tl5_dt225_ge46_qr11_tau72,5,225,46,0.11,0.72,165.92,91.82,10.00,1.00,10:1,159.18,219.08016,385.0,165.91984,91.821437,146.270893,1,26
Random Search,20260607,14,rs_r14_006_tl118_dt215_ge18_qr12_tau75,118,215,18,0.12,0.75,393.92,84.25,10.00,1.00,10:1,365.77,219.08016,613.0,393.91984,84.247889,174.690661,1,61
Random Search,20260607,15,rs_r15_001_tl62_dt206_ge23_qr72_tau72,62,206,23,0.72,0.72,193.92,77.51,10.00,1.00,10:1,183.34,219.08016,413.0,193.91984,77.506393,140.656168,0,37
Random Search,20260607,15,rs_r15_002_tl27_dt202_ge9_qr96_tau77,27,202,9,0.96,0.77,332.92,96.31,10.00,1.00,10:1,311.41,219.08016,552.0,332.91984,96.310569,176.191837,0,73
Random Search,20260607,15,rs_r15_003_tl120_dt5_ge13_qr18_tau72,120,5,13,0.18,0.72,160.92,93.17,10.00,1.00,10:1,154.76,219.08016,380.0,160.91984,93.168223,147.803235,1,20
Random Search,20260607,15,rs_r15_004_tl113_dt244_ge32_qr96_tau75,113,244,32,0.96,0.75,264.92,95.88,10.00,1.00,10:1,249.55,219.08016,484.0,264.91984,95.876678,158.004808,0,36
Random Search,20260607,15,rs_r15_005_tl20_dt207_ge48_qr9_tau75,20,207,48,0.09,0.75,188.92,83.55,10.00,1.00,10:1,179.34,219.08016,408.0,188.91984,83.547592,137.544413,1,27
Random Search,20260607,15,rs_r15_006_tl68_dt217_ge48_qr89_tau72,68,217,48,0.89,0.72,303.92,80.26,10.00,1.00,10:1,283.59,219.08016,523.0,303.91984,80.258975,164.523913,0,32
Random Search,20260607,16,rs_r16_001_tl110_dt106_ge45_qr45_tau75,110,106,45,0.45,0.75,192.92,77.83,10.00,1.00,10:1,182.46,219.08016,412.0,192.91984,77.833943,134.123209,0,27
Random Search,20260607,16,rs_r16_002_tl60_dt214_ge18_qr48_tau87,60,214,18,0.48,0.87,404.92,82.18,10.00,1.00,10:1,375.58,219.08016,624.0,404.91984,82.181508,174.119923,0,63
Random Search,20260607,16,rs_r16_003_tl53_dt219_ge13_qr38_tau86,53,219,13,0.38,0.86,309.92,89.75,10.00,1.00,10:1,289.90,219.08016,529.0,309.91984,89.754276,164.209979,0,62
Random Search,20260607,16,rs_r16_004_tl39_dt243_ge38_qr97_tau85,39,243,38,0.97,0.85,274.92,87.44,10.00,1.00,10:1,257.88,219.08016,494.0,274.91984,87.443967,173.891892,0,36
Random Search,20260607,16,rs_r16_005_tl104_dt200_ge33_qr49_tau72,104,200,33,0.49,0.72,286.92,89.91,10.00,1.00,10:1,269.01,219.08016,506.0,286.91984,89.912906,157.023866,0,35
Random Search,20260607,16,rs_r16_006_tl35_dt190_ge2_qr74_tau87,35,190,2,0.74,0.87,258.92,89.98,10.00,1.00,10:1,243.56,219.08016,478.0,258.91984,89.975269,174.693069,0,87
Random Search,20260607,17,rs_r17_001_tl37_dt105_ge47_qr11_tau70,37,105,47,0.11,0.7,270.92,82.38,10.00,1.00,10:1,253.78,219.08016,490.0,270.91984,82.37985,155.569007,1,29
Random Search,20260607,17,rs_r17_002_tl46_dt57_ge41_qr64_tau73,46,57,41,0.64,0.73,171.92,78.19,10.00,1.00,10:1,163.40,219.08016,391.0,171.91984,78.187862,133.717262,0,27
Random Search,20260607,17,rs_r17_003_tl52_dt157_ge4_qr3_tau81,52,157,4,0.03,0.81,379.92,88.15,10.00,1.00,10:1,353.40,219.08016,599.0,379.91984,88.151062,173.553571,1,101
Random Search,20260607,17,rs_r17_004_tl57_dt50_ge1_qr9_tau83,57,50,1,0.09,0.83,280.92,101.85,10.00,1.00,10:1,264.64,219.08016,500.0,280.91984,101.851855,163.621951,1,87
Random Search,20260607,17,rs_r17_005_tl65_dt219_ge3_qr90_tau76,65,219,3,0.9,0.76,309.92,87.06,10.00,1.00,10:1,289.66,219.08016,529.0,309.91984,87.059839,163.977679,0,92
Random Search,20260607,17,rs_r17_006_tl17_dt48_ge49_qr42_tau82,17,48,49,0.42,0.82,187.92,88.30,10.00,1.00,10:1,178.86,219.08016,407.0,187.91984,88.301961,142.673629,0,23
Random Search,20260607,18,rs_r18_001_tl96_dt120_ge44_qr1_tau70,96,120,44,0.01,0.7,306.92,86.00,10.00,1.00,10:1,286.84,219.08016,526.0,306.91984,86.002543,152.290909,1,31
Random Search,20260607,18,rs_r18_002_tl36_dt40_ge9_qr69_tau89,36,40,9,0.69,0.89,233.92,76.38,10.00,1.00,10:1,219.60,219.08016,453.0,233.91984,76.384457,145.044974,0,53
Random Search,20260607,18,rs_r18_003_tl31_dt79_ge6_qr54_tau70,31,79,6,0.54,0.7,253.92,94.41,10.00,1.00,10:1,239.42,219.08016,473.0,253.91984,94.411579,155.339332,0,69
Random Search,20260607,18,rs_r18_004_tl102_dt61_ge43_qr79_tau86,102,61,43,0.79,0.86,256.92,75.75,10.00,1.00,10:1,240.45,219.08016,476.0,256.91984,75.750972,138.861809,0,29
Random Search,20260607,18,rs_r18_005_tl69_dt186_ge22_qr9_tau86,69,186,22,0.09,0.86,170.92,84.52,10.00,1.00,10:1,163.07,219.08016,390.0,170.91984,84.524155,139.120235,1,38
Random Search,20260607,18,rs_r18_006_tl85_dt106_ge9_qr33_tau88,85,106,9,0.33,0.88,326.92,88.67,10.00,1.00,10:1,305.26,219.08016,546.0,326.91984,88.674557,164.076586,0,73
Random Search,20260607,19,rs_r19_001_tl61_dt172_ge23_qr49_tau81,61,172,23,0.49,0.81,193.92,77.51,10.00,1.00,10:1,183.34,219.08016,413.0,193.91984,77.506393,140.656168,0,37
Random Search,20260607,19,rs_r19_002_tl66_dt7_ge29_qr82_tau80,66,7,29,0.82,0.8,181.92,80.09,10.00,1.00,10:1,172.66,219.08016,401.0,181.91984,80.090587,135.327824,0,18
Random Search,20260607,19,rs_r19_003_tl56_dt99_ge47_qr11_tau70,56,99,47,0.11,0.7,234.92,83.21,10.00,1.00,10:1,221.13,219.08016,454.0,234.91984,83.207101,138.608924,1,28
Random Search,20260607,19,rs_r19_004_tl1_dt130_ge26_qr57_tau86,1,130,26,0.57,0.86,289.92,86.95,10.00,1.00,10:1,271.47,219.08016,509.0,289.91984,86.94922,159.270742,0,43
Random Search,20260607,19,rs_r19_005_tl42_dt107_ge42_qr87_tau75,42,107,42,0.87,0.75,207.92,80.20,10.00,1.00,10:1,196.31,219.08016,427.0,207.91984,80.195282,152.342723,0,29
Random Search,20260607,19,rs_r19_006_tl86_dt198_ge13_qr68_tau89,86,198,13,0.68,0.89,274.92,91.92,10.00,1.00,10:1,258.28,219.08016,494.0,274.91984,91.922022,149.641975,0,60
Random Search,20260607,20,rs_r20_001_tl30_dt123_ge23_qr79_tau74,30,123,23,0.79,0.74,189.92,75.89,10.00,1.00,10:1,179.55,219.08016,409.0,189.91984,75.892042,135.262857,0,37
Random Search,20260607,20,rs_r20_002_tl50_dt232_ge31_qr19_tau80,50,232,31,0.19,0.8,317.92,98.46,10.00,1.00,10:1,297.97,219.08016,537.0,317.91984,98.462908,147.997696,1,40
Random Search,20260607,20,rs_r20_003_tl27_dt153_ge13_qr91_tau70,27,153,13,0.91,0.7,204.92,96.22,10.00,1.00,10:1,195.04,219.08016,424.0,204.91984,96.224664,145.624309,0,51
Random Search,20260607,20,rs_r20_004_tl8_dt179_ge35_qr6_tau89,8,179,35,0.06,0.89,336.92,90.23,10.00,1.00,10:1,314.49,219.08016,556.0,336.91984,90.231444,165.588865,1,41
Random Search,20260607,20,rs_r20_005_tl91_dt147_ge40_qr35_tau71,91,147,40,0.35,0.71,297.92,84.08,10.00,1.00,10:1,278.48,219.08016,517.0,297.91984,84.07587,154.112385,0,35
Random Search,20260607,20,rs_r20_006_tl61_dt132_ge18_qr58_tau71,61,132,18,0.58,0.71,404.92,82.18,10.00,1.00,10:1,375.58,219.08016,624.0,404.91984,82.181508,174.119923,0,63
Random Search,20260607,21,rs_r21_001_tl17_dt210_ge38_qr52_tau73,17,210,38,0.52,0.73,160.92,83.80,10.00,1.00,10:1,153.91,219.08016,380.0,160.91984,83.801879,167.384462,0,27
Random Search,20260607,21,rs_r21_002_tl119_dt193_ge10_qr3_tau77,119,193,10,0.03,0.77,371.92,84.88,10.00,1.00,10:1,345.83,219.08016,591.0,371.91984,84.884879,171.168,1,79
Random Search,20260607,21,rs_r21_003_tl73_dt105_ge15_qr34_tau82,73,105,15,0.34,0.82,330.92,87.38,10.00,1.00,10:1,308.78,219.08016,550.0,330.91984,87.381658,163.244161,0,61
Random Search,20260607,21,rs_r21_004_tl51_dt72_ge12_qr93_tau74,51,72,12,0.93,0.74,356.92,88.84,10.00,1.00,10:1,332.55,219.08016,576.0,356.91984,88.842917,170.423554,0,71
Random Search,20260607,21,rs_r21_005_tl114_dt90_ge5_qr74_tau80,114,90,5,0.74,0.8,385.92,97.84,10.00,1.00,10:1,359.73,219.08016,605.0,385.91984,97.835196,176.660532,0,97
Random Search,20260607,21,rs_r21_006_tl107_dt119_ge35_qr1_tau85,107,119,35,0.01,0.85,190.92,91.92,10.00,1.00,10:1,181.92,219.08016,410.0,190.91984,91.923381,151.209719,1,31
Random Search,20260607,22,rs_r22_001_tl49_dt46_ge29_qr70_tau79,49,46,29,0.7,0.79,161.92,77.91,10.00,1.00,10:1,154.28,219.08016,381.0,161.91984,77.914553,142.176966,0,28
Random Search,20260607,22,rs_r22_002_tl54_dt231_ge49_qr41_tau86,54,231,49,0.41,0.86,302.92,79.03,10.00,1.00,10:1,282.57,219.08016,522.0,302.91984,79.031844,169.578313,0,31
Random Search,20260607,22,rs_r22_003_tl119_dt203_ge11_qr73_tau83,119,203,11,0.73,0.83,320.92,82.28,10.00,1.00,10:1,299.23,219.08016,540.0,320.91984,82.283101,158.716102,0,67
