method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,3,6,6,bo_r03_006_tl55_dt176_ge38_qr40_tau85,55,176,38,0.4,0.85,409.92,1695.51,526.79,331.02,0.00,PASS,,recovery_detected,True,False,0,289,0,40,451.50,373.99,529.02,,,,,,,,,,,,,,,526.79,,,
BO,20260607,4,1,6,bo_r04_001_tl3_dt71_ge44_qr30_tau88,3,71,44,0.3,0.88,280.92,1861.67,424.62,331.02,0.00,PASS,,recovery_detected,True,False,0,1093,0,31,409.88,289.31,530.45,,,,,,,,,,,,,,,424.62,,,
BO,20260607,4,2,6,bo_r04_002_tl31_dt28_ge30_qr19_tau81,31,28,30,0.19,0.81,164.92,2004.40,332.15,331.02,0.00,PASS,,recovery_detected,True,False,0,2238,0,25,410.50,292.17,528.83,,,,,,,,,,,,,,,332.15,,,
BO,20260607,4,3,6,bo_r04_003_tl68_dt239_ge1_qr84_tau82,68,239,1,0.84,0.82,222.92,1933.41,378.42,331.02,0.00,PASS,,recovery_detected,True,False,0,749,0,89,444.66,317.57,571.75,,,,,,,,,,,,,,,378.42,,,
BO,20260607,4,4,6,bo_r04_004_tl67_dt190_ge15_qr77_tau75,67,190,15,0.77,0.75,317.92,1848.60,457.07,331.02,0.00,PASS,,recovery_detected,True,False,0,553,0,60,436.78,346.86,526.70,,,,,,,,,,,,,,,457.07,,,
BO,20260607,4,5,6,bo_r04_005_tl11_dt176_ge20_qr90_tau78,11,176,20,0.9,0.78,265.92,1769.15,402.58,331.02,0.00,PASS,,recovery_detected,True,False,0,587,0,48,449.19,335.61,562.78,,,,,,,,,,,,,,,402.58,,,
BO,20260607,4,6,6,bo_r04_006_tl56_dt15_ge36_qr99_tau75,56,15,36,0.99,0.75,163.92,2004.16,331.21,331.02,0.00,PASS,,recovery_detected,True,False,0,3532,0,18,402.27,283.60,520.94,,,,,,,,,,,,,,,331.21,,,
BO,20260607,5,1,6,bo_r05_001_tl50_dt39_ge28_qr38_tau70,50,39,28,0.38,0.7,217.92,1841.31,365.50,331.02,0.00,PASS,,recovery_detected,True,False,0,1752,0,34,342.43,263.75,421.11,,,,,,,,,,,,,,,365.50,,,
BO,20260607,5,2,6,bo_r05_002_tl114_dt119_ge42_qr19_tau76,114,119,42,0.19,0.76,292.92,1834.59,433.07,331.02,0.00,PASS,,recovery_detected,True,False,0,193,0,33,472.31,352.86,591.75,,,,,,,,,,,,,,,433.07,,,
BO,20260607,5,3,6,bo_r05_003_tl30_dt173_ge9_qr30_tau90,30,173,9,0.3,0.9,273.92,1867.01,418.75,331.02,0.00,PASS,,recovery_detected,True,False,0,873,0,66,417.93,310.53,525.33,,,,,,,,,,,,,,,418.75,,,
BO,20260607,5,4,6,bo_r05_004_tl67_dt40_ge43_qr75_tau74,67,40,43,0.75,0.74,178.92,1998.37,344.32,331.02,0.00,PASS,,recovery_detected,True,False,0,1680,0,22,334.84,259.86,409.82,,,,,,,,,,,,,,,344.32,,,
BO,20260607,5,5,6,bo_r05_005_tl20_dt219_ge38_qr92_tau78,20,219,38,0.92,0.78,336.92,1758.65,466.17,331.02,0.00,PASS,,recovery_detected,True,False,0,375,0,36,493.96,418.64,569.28,,,,,,,,,,,,,,,466.17,,,
BO,20260607,5,6,6,bo_r05_006_tl98_dt149_ge21_qr12_tau76,98,149,21,0.12,0.76,435.92,1739.67,554.44,331.02,0.00,PASS,,recovery_detected,True,False,0,487,0,61,452.47,402.97,501.97,,,,,,,,,,,,,,,554.44,,,
BO,20260607,6,1,6,bo_r06_001_tl119_dt74_ge7_qr7_tau70,119,74,7,0.07,0.7,397.92,1732.17,519.21,331.02,0.00,PASS,,recovery_detected,True,False,0,1337,0,86,449.46,390.41,508.52,,,,,,,,,,,,,,,519.21,,,
BO,20260607,6,2,6,bo_r06_002_tl8_dt204_ge36_qr80_tau76,8,204,36,0.8,0.76,241.92,1885.24,391.31,331.02,0.00,PASS,,recovery_detected,True,False,0,1008,0,33,435.04,353.43,516.65,,,,,,,,,,,,,,,391.31,,,
BO,20260607,6,3,6,bo_r06_003_tl28_dt22_ge33_qr35_tau76,28,22,33,0.35,0.76,167.92,1982.87,332.92,331.02,0.00,PASS,,recovery_detected,True,False,0,2693,0,22,337.46,274.68,400.23,,,,,,,,,,,,,,,332.92,,,
BO,20260607,6,4,6,bo_r06_004_tl86_dt232_ge20_qr22_tau70,86,232,20,0.22,0.7,324.92,1842.82,462.91,331.02,0.00,PASS,,recovery_detected,True,False,0,406,0,54,421.15,306.37,535.94,,,,,,,,,,,,,,,462.91,,,
BO,20260607,6,5,6,bo_r06_005_tl82_dt60_ge33_qr40_tau89,82,60,33,0.4,0.89,161.92,2032.94,332.01,331.02,0.00,PASS,,recovery_detected,True,False,0,459,0,28,415.90,300.24,531.55,,,,,,,,,,,,,,,332.01,,,
BO,20260607,6,6,6,bo_r06_006_tl81_dt122_ge8_qr4_tau70,81,122,8,0.04,0.7,371.92,1791.27,500.95,331.02,0.00,PASS,,recovery_detected,True,False,0,937,0,84,472.01,369.31,574.72,,,,,,,,,,,,,,,500.95,,,
BO,20260607,7,1,6,bo_r07_001_tl91_dt52_ge43_qr30_tau84,91,52,43,0.3,0.84,161.92,2012.88,330.19,330.19,0.00,PASS,,recovery_detected,True,False,0,1030,0,26,346.52,260.91,432.12,19.71,16.97,14.14,4.68,3.06,3.65,2.95,14.14,7.09,14.14,5.93,2.64892368,5,0.825402,330.19,,,
BO,20260607,7,2,6,bo_r07_002_tl54_dt51_ge46_qr59_tau88,54,51,46,0.59,0.88,159.92,2011.96,328.29,328.29,0.00,PASS,,recovery_detected,True,False,0,1069,0,24,358.28,252.07,464.50,15.13,13.41,11.93,3.43,2.33,2.89,2.43,11.93,6.31,11.93,4.89,2.47927756,5,0.884571,328.29,,,
BO,20260607,7,3,6,bo_r07_003_tl64_dt45_ge22_qr73_tau87,64,45,22,0.73,0.87,274.92,1798.11,413.39,328.29,0.00,PASS,,recovery_detected,True,False,0,1689,0,39,364.10,265.39,462.80,11.96,11.87,10.15,2.90,1.97,2.46,2.05,10.15,5.32,10.15,4.14,2.31730518,5,0.848188,413.39,,,
BO,20260607,7,4,6,bo_r07_004_tl53_dt47_ge15_qr60_tau89,53,47,15,0.6,0.89,296.92,1811.13,434.58,328.29,0.00,PASS,,recovery_detected,True,False,0,1805,0,55,381.47,271.02,491.92,9.33,9.23,7.43,2.04,1.40,1.78,1.47,7.43,3.87,7.43,3.00,2.00615778,5,0.796545,434.58,,,
BO,20260607,7,5,6,bo_r07_005_tl37_dt52_ge44_qr76_tau90,37,52,44,0.76,0.9,161.92,2019.30,330.77,328.29,0.00,PASS,,recovery_detected,True,False,0,1092,0,26,374.40,260.33,488.47,9.63,9.21,8.43,2.25,1.57,1.98,1.70,8.43,4.57,8.43,3.41,2.13211590,5,0.910994,330.77,,,
BO,20260607,7,6,6,bo_r07_006_tl26_dt25_ge1_qr86_tau85,26,25,1,0.86,0.85,161.92,1991.13,328.21,328.21,0.00,PASS,,recovery_detected,True,False,0,2518,0,52,367.82,257.84,477.80,9.34,9.20,6.80,1.61,1.14,1.56,1.28,6.80,3.55,6.80,2.66,1.91695094,5,0.728277,328.21,,,
BO,20260607,8,1,6,bo_r08_001_tl100_dt55_ge38_qr83_tau87,100,55,38,0.83,0.87,162.92,2013.80,331.18,328.21,0.00,PASS,,recovery_detected,True,False,0,788,0,28,323.76,262.17,385.35,5.83,5.82,5.74,1.81,1.21,1.43,1.21,5.74,3.04,5.74,2.41,1.74670316,5,0.984229,331.18,,,
BO,20260607,8,2,6,bo_r08_002_tl32_dt26_ge5_qr3_tau86,32,26,5,0.03,0.86,186.92,1961.79,348.27,328.21,0.00,PASS,,recovery_detected,True,False,0,2551,0,46,347.37,282.92,411.82,5.12,5.00,2.88,0.75,0.51,0.71,0.52,2.88,1.34,2.88,1.12,1.05852563,5,0.563261,348.27,,,
BO,20260607,8,3,6,bo_r08_003_tl34_dt23_ge19_qr97_tau81,34,23,19,0.97,0.81,161.92,1987.21,327.86,327.86,0.00,PASS,,recovery_detected,True,False,0,2615,0,27,357.43,270.79,444.07,4.77,4.72,3.74,0.95,0.67,0.87,0.73,3.74,1.96,3.74,1.49,1.31870148,5,0.783644,327.86,,,
BO,20260607,8,4,6,bo_r08_004_tl5_dt28_ge21_qr27_tau87,5,28,21,0.27,0.87,162.92,1978.17,327.94,327.86,0.00,PASS,,recovery_detected,True,False,0,2332,0,30,367.33,261.00,473.66,3.90,3.83,2.48,0.57,0.40,0.57,0.45,2.48,1.25,2.48,0.95,0.90970696,5,0.636300,327.94,,,
BO,20260607,8,5,6,bo_r08_005_tl0_dt29_ge5_qr72_tau90,0,29,5,0.72,0.9,164.92,2020.23,333.58,327.86,0.00,PASS,,recovery_detected,True,False,0,2597,0,44,360.21,264.96,455.46,3.69,3.54,2.57,0.53,0.39,0.57,0.47,2.57,1.37,2.57,0.98,0.94451010,5,0.716325,333.58,,,
BO,20260607,8,6,6,bo_r08_006_tl115_dt22_ge43_qr57_tau78,115,22,43,0.57,0.78,165.92,1980.50,330.88,327.86,0.00,PASS,,recovery_detected,True,False,0,2689,0,19,386.18,266.44,505.92,3.52,3.50,3.08,1.07,0.70,0.81,0.66,3.08,1.54,3.08,1.31,1.12438347,5,0.873997,330.88,,,
BO,20260607,9,1,6,bo_r09_001_tl33_dt15_ge50_qr57_tau87,33,15,50,0.57,0.87,163.92,2004.16,331.21,327.86,0.00,PASS,,recovery_detected,True,False,0,3546,0,18,364.04,251.58,476.50,5.90,5.06,4.36,1.18,0.82,1.03,0.87,4.36,2.31,4.36,1.76,1.47163661,5,0.854784,331.21,,,
BO,20260607,9,2,6,bo_r09_002_tl15_dt7_ge47_qr99_tau85,15,7,47,0.99,0.85,180.92,1909.74,338.09,327.86,0.00,PASS,,recovery_detected,True,False,0,4129,0,16,372.85,255.49,490.21,3.97,3.95,3.55,0.88,0.63,0.81,0.70,3.55,1.94,3.55,1.42,1.26796253,5,0.894612,338.09,,,
BO,20260607,9,3,6,bo_r09_003_tl112_dt17_ge49_qr5_tau73,112,17,49,0.05,0.73,163.92,2004.16,331.21,327.86,0.00,PASS,,recovery_detected,True,False,0,3478,0,18,345.06,266.92,423.21,3.69,3.63,2.62,1.00,0.63,0.73,0.55,2.62,1.20,2.62,1.12,0.96263707,5,0.709803,331.21,,,
BO,20260607,9,4,6,bo_r09_004_tl37_dt25_ge44_qr33_tau83,37,25,44,0.33,0.83,162.92,1986.97,328.74,327.86,0.00,PASS,,recovery_detected,True,False,0,2335,0,19,347.44,266.78,428.10,3.61,3.10,2.32,0.65,0.44,0.57,0.46,2.32,1.17,2.32,0.93,0.84112640,5,0.737987,328.74,,,
BO,20260607,9,5,6,bo_r09_005_tl10_dt17_ge23_qr88_tau72,10,17,23,0.88,0.72,163.92,2004.16,331.21,327.86,0.00,PASS,,recovery_detected,True,False,0,3527,0,21,328.55,264.27,392.84,3.48,3.04,1.97,0.46,0.32,0.46,0.36,1.97,0.98,1.97,0.76,0.67864856,5,0.635839,331.21,,,
BO,20260607,9,6,6,bo_r09_006_tl42_dt30_ge41_qr3_tau81,42,30,41,0.03,0.81,168.92,2011.10,336.39,327.86,0.00,PASS,,recovery_detected,True,False,0,2055,0,23,343.19,275.18,411.21,2.33,2.28,1.49,0.44,0.29,0.38,0.29,1.49,0.71,1.49,0.60,0.40127937,5,0.641614,336.39,,,
