input_method,input_seed,input_round,input_parameter_id,input_t_lead,input_delta_T_thr,input_G_ext,input_Q_ratio,input_tau,output_delay_A_sec,output_delay_N_sec,weight_A,weight_N,weight_ratio,score,measured_T_free_EMV_sec,measured_T_actual_EMV_sec,measured_d_EMV_sec,measured_d_veh_sec,measured_general_mean_travel_time_sec,stage2_on_count,stage3_on_count
Random Search,20260607,5,rs_r05_002_tl122_dt114_ge19_qr92_tau72,122,114,19,0.92,0.72,394.92,86.14,10.00,1.00,10:1,366.85,,,394.92,86.14,,0,63
Random Search,20260607,5,rs_r05_003_tl22_dt124_ge43_qr63_tau86,22,124,43,0.63,0.86,256.92,80.52,10.00,1.00,10:1,240.88,,,256.92,80.52,,0,29
Random Search,20260607,5,rs_r05_004_tl6_dt161_ge33_qr26_tau82,6,161,33,0.26,0.82,167.92,91.80,10.00,1.00,10:1,161.00,,,167.92,91.80,,1,32
Random Search,20260607,5,rs_r05_005_tl53_dt56_ge20_qr11_tau83,53,56,20,0.11,0.83,166.92,82.85,10.00,1.00,10:1,159.28,,,166.92,82.85,,1,40
Random Search,20260607,5,rs_r05_006_tl75_dt157_ge11_qr44_tau86,75,157,11,0.44,0.86,0.00,83.49,10.00,1.00,10:1,7.59,,,0.00,83.49,,0,0
Random Search,20260607,6,rs_r06_001_tl46_dt192_ge42_qr0_tau71,46,192,42,0.0,0.71,296.92,81.08,10.00,1.00,10:1,277.30,,,296.92,81.08,,1,36
Random Search,20260607,6,rs_r06_002_tl111_dt123_ge48_qr58_tau90,111,123,48,0.58,0.9,303.92,80.26,10.00,1.00,10:1,283.59,,,303.92,80.26,,0,32
Random Search,20260607,6,rs_r06_003_tl5_dt81_ge41_qr17_tau85,5,81,41,0.17,0.85,150.92,94.01,10.00,1.00,10:1,145.75,,,150.92,94.01,,1,23
Random Search,20260607,6,rs_r06_004_tl28_dt35_ge2_qr93_tau70,28,35,2,0.93,0.7,137.92,77.20,10.00,1.00,10:1,132.40,,,137.92,77.20,,0,49
Random Search,20260607,6,rs_r06_005_tl68_dt113_ge20_qr57_tau72,68,113,20,0.57,0.72,273.92,97.81,10.00,1.00,10:1,257.91,,,273.92,97.81,,0,51
Random Search,20260607,6,rs_r06_006_tl27_dt5_ge14_qr40_tau87,27,5,14,0.4,0.87,266.92,79.29,10.00,1.00,10:1,249.86,,,266.92,79.29,,0,20
Random Search,20260607,7,rs_r07_001_tl76_dt228_ge7_qr1_tau77,76,228,7,0.01,0.77,366.92,83.15,10.00,1.00,10:1,341.12,,,366.92,83.15,,1,81
Random Search,20260607,7,rs_r07_002_tl10_dt107_ge8_qr98_tau73,10,107,8,0.98,0.73,297.92,103.02,10.00,1.00,10:1,280.20,,,297.92,103.02,,0,71
Random Search,20260607,7,rs_r07_003_tl50_dt49_ge36_qr85_tau84,50,49,36,0.85,0.84,194.92,75.02,10.00,1.00,10:1,184.02,,,194.92,75.02,,0,30
Random Search,20260607,7,rs_r07_004_tl81_dt31_ge26_qr88_tau71,81,31,26,0.88,0.71,137.92,88.13,10.00,1.00,10:1,133.39,,,137.92,88.13,,0,28
Random Search,20260607,7,rs_r07_005_tl69_dt127_ge27_qr15_tau85,69,127,27,0.15,0.85,288.92,84.66,10.00,1.00,10:1,270.35,,,288.92,84.66,,1,43
Random Search,20260607,7,rs_r07_006_tl64_dt47_ge9_qr93_tau77,64,47,9,0.93,0.77,291.92,103.02,10.00,1.00,10:1,274.75,,,291.92,103.02,,0,61
Random Search,20260607,8,rs_r08_001_tl19_dt205_ge50_qr83_tau76,19,205,50,0.83,0.76,313.92,75.36,10.00,1.00,10:1,292.23,,,313.92,75.36,,0,31
Random Search,20260607,8,rs_r08_002_tl116_dt237_ge12_qr57_tau90,116,237,12,0.57,0.9,0.00,83.40,10.00,1.00,10:1,7.58,,,0.00,83.40,,0,0
Random Search,20260607,8,rs_r08_003_tl62_dt173_ge48_qr37_tau83,62,173,48,0.37,0.83,303.92,80.26,10.00,1.00,10:1,283.59,,,303.92,80.26,,0,32
Random Search,20260607,8,rs_r08_004_tl74_dt50_ge33_qr41_tau84,74,50,33,0.41,0.84,238.92,75.86,10.00,1.00,10:1,224.10,,,238.92,75.86,,0,31
Random Search,20260607,8,rs_r08_005_tl40_dt196_ge41_qr62_tau90,40,196,41,0.62,0.9,241.92,77.60,10.00,1.00,10:1,226.98,,,241.92,77.60,,0,32
Random Search,20260607,8,rs_r08_006_tl17_dt241_ge43_qr2_tau84,17,241,43,0.02,0.84,90.92,84.55,10.00,1.00,10:1,90.34,,,90.92,84.55,,1,24
Random Search,20260607,9,rs_r09_001_tl12_dt225_ge30_qr46_tau88,12,225,30,0.46,0.88,144.92,79.72,10.00,1.00,10:1,138.99,,,144.92,79.72,,0,27
Random Search,20260607,9,rs_r09_002_tl90_dt113_ge22_qr30_tau84,90,113,22,0.3,0.84,170.92,84.52,10.00,1.00,10:1,163.07,,,170.92,84.52,,1,38
Random Search,20260607,9,rs_r09_003_tl71_dt81_ge10_qr85_tau83,71,81,10,0.85,0.83,441.92,94.90,10.00,1.00,10:1,410.37,,,441.92,94.90,,0,87
Random Search,20260607,9,rs_r09_004_tl113_dt238_ge44_qr78_tau80,113,238,44,0.78,0.8,248.92,80.57,10.00,1.00,10:1,233.62,,,248.92,80.57,,0,29
Random Search,20260607,9,rs_r09_005_tl81_dt108_ge22_qr65_tau81,81,108,22,0.65,0.81,307.92,97.10,10.00,1.00,10:1,288.75,,,307.92,97.10,,0,49
Random Search,20260607,9,rs_r09_006_tl40_dt220_ge2_qr31_tau85,40,220,2,0.31,0.85,258.92,89.98,10.00,1.00,10:1,243.56,,,258.92,89.98,,0,87
Random Search,20260607,10,rs_r10_001_tl6_dt162_ge24_qr64_tau72,6,162,24,0.64,0.72,289.92,82.66,10.00,1.00,10:1,271.08,,,289.92,82.66,,0,46
Random Search,20260607,10,rs_r10_002_tl32_dt156_ge7_qr55_tau71,32,156,7,0.55,0.71,284.92,88.22,10.00,1.00,10:1,267.04,,,284.92,88.22,,0,73
Random Search,20260607,10,rs_r10_003_tl27_dt56_ge2_qr52_tau87,27,56,2,0.52,0.87,0.00,98.77,10.00,1.00,10:1,8.98,,,0.00,98.77,,0,0
Random Search,20260607,10,rs_r10_004_tl32_dt39_ge7_qr70_tau74,32,39,7,0.7,0.74,0.00,62.71,10.00,1.00,10:1,5.70,,,0.00,62.71,,0,0
Random Search,20260607,10,rs_r10_005_tl38_dt207_ge10_qr72_tau70,38,207,10,0.72,0.7,363.92,90.76,10.00,1.00,10:1,339.09,,,363.92,90.76,,0,76
Random Search,20260607,10,rs_r10_006_tl50_dt113_ge21_qr41_tau71,50,113,21,0.41,0.71,413.92,85.83,10.00,1.00,10:1,384.09,,,413.92,85.83,,0,60
Random Search,20260607,11,rs_r11_001_tl95_dt93_ge32_qr51_tau74,95,93,32,0.51,0.74,316.92,91.59,10.00,1.00,10:1,296.44,,,316.92,91.59,,0,40
Random Search,20260607,11,rs_r11_002_tl121_dt211_ge14_qr93_tau86,121,211,14,0.93,0.86,319.92,82.27,10.00,1.00,10:1,298.32,,,319.92,82.27,,0,61
Random Search,20260607,11,rs_r11_003_tl97_dt180_ge5_qr35_tau89,97,180,5,0.35,0.89,290.92,100.47,10.00,1.00,10:1,273.61,,,290.92,100.47,,0,83
Random Search,20260607,11,rs_r11_004_tl10_dt98_ge38_qr61_tau70,10,98,38,0.61,0.7,142.92,71.92,10.00,1.00,10:1,136.47,,,142.92,71.92,,0,24
Random Search,20260607,11,rs_r11_005_tl79_dt183_ge0_qr85_tau84,79,183,0,0.85,0.84,222.92,89.47,10.00,1.00,10:1,210.79,,,222.92,89.47,,0,97
Random Search,20260607,11,rs_r11_006_tl92_dt203_ge5_qr75_tau86,92,203,5,0.75,0.86,290.92,100.47,10.00,1.00,10:1,273.61,,,290.92,100.47,,0,83
Random Search,20260607,12,rs_r12_001_tl14_dt5_ge40_qr20_tau81,14,5,40,0.2,0.81,161.92,93.25,10.00,1.00,10:1,155.68,,,161.92,93.25,,1,18
Random Search,20260607,12,rs_r12_002_tl68_dt65_ge26_qr14_tau83,68,65,26,0.14,0.83,262.92,85.43,10.00,1.00,10:1,246.78,,,262.92,85.43,,1,43
Random Search,20260607,12,rs_r12_003_tl91_dt242_ge8_qr42_tau81,91,242,8,0.42,0.81,316.92,89.86,10.00,1.00,10:1,296.28,,,316.92,89.86,,0,76
Random Search,20260607,12,rs_r12_004_tl6_dt98_ge12_qr100_tau90,6,98,12,1.0,0.9,157.92,81.52,10.00,1.00,10:1,150.97,,,157.92,81.52,,0,47
Random Search,20260607,12,rs_r12_005_tl92_dt218_ge48_qr37_tau74,92,218,48,0.37,0.74,303.92,80.26,10.00,1.00,10:1,283.59,,,303.92,80.26,,0,32
Random Search,20260607,12,rs_r12_006_tl51_dt117_ge1_qr40_tau78,51,117,1,0.4,0.78,308.92,91.39,10.00,1.00,10:1,289.14,,,308.92,91.39,,0,102
Random Search,20260607,13,rs_r13_001_tl13_dt102_ge39_qr42_tau70,13,102,39,0.42,0.7,354.92,89.92,10.00,1.00,10:1,330.83,,,354.92,89.92,,0,37
Random Search,20260607,13,rs_r13_002_tl1_dt149_ge45_qr76_tau90,1,149,45,0.76,0.9,139.92,91.71,10.00,1.00,10:1,135.54,,,139.92,91.71,,0,25
Random Search,20260607,13,rs_r13_003_tl10_dt62_ge40_qr52_tau86,10,62,40,0.52,0.86,0.00,63.61,10.00,1.00,10:1,5.78,,,0.00,63.61,,0,0
Random Search,20260607,13,rs_r13_004_tl121_dt19_ge35_qr37_tau79,121,19,35,0.37,0.79,144.92,79.19,10.00,1.00,10:1,138.94,,,144.92,79.19,,0,19
Random Search,20260607,13,rs_r13_005_tl82_dt160_ge24_qr83_tau85,82,160,24,0.83,0.85,316.92,76.38,10.00,1.00,10:1,295.05,,,316.92,76.38,,0,46
Random Search,20260607,13,rs_r13_006_tl62_dt195_ge20_qr33_tau87,62,195,20,0.33,0.87,286.92,89.78,10.00,1.00,10:1,269.00,,,286.92,89.78,,0,47
Random Search,20260607,14,rs_r14_001_tl108_dt73_ge7_qr17_tau85,108,73,7,0.17,0.85,364.92,98.65,10.00,1.00,10:1,340.71,,,364.92,98.65,,1,84
Random Search,20260607,14,rs_r14_002_tl62_dt200_ge28_qr78_tau76,62,200,28,0.78,0.76,290.92,74.86,10.00,1.00,10:1,271.28,,,290.92,74.86,,0,40
Random Search,20260607,14,rs_r14_003_tl118_dt166_ge34_qr52_tau78,118,166,34,0.52,0.78,364.92,87.44,10.00,1.00,10:1,339.69,,,364.92,87.44,,0,42
Random Search,20260607,14,rs_r14_004_tl4_dt172_ge19_qr58_tau89,4,172,19,0.58,0.89,240.92,88.86,10.00,1.00,10:1,227.10,,,240.92,88.86,,0,46
Random Search,20260607,14,rs_r14_005_tl5_dt225_ge46_qr11_tau72,5,225,46,0.11,0.72,165.92,91.82,10.00,1.00,10:1,159.18,,,165.92,91.82,,1,26
Random Search,20260607,14,rs_r14_006_tl118_dt215_ge18_qr12_tau75,118,215,18,0.12,0.75,393.92,84.25,10.00,1.00,10:1,365.77,,,393.92,84.25,,1,61
Random Search,20260607,15,rs_r15_001_tl62_dt206_ge23_qr72_tau72,62,206,23,0.72,0.72,193.92,77.51,10.00,1.00,10:1,183.34,,,193.92,77.51,,0,37
Random Search,20260607,15,rs_r15_002_tl27_dt202_ge9_qr96_tau77,27,202,9,0.96,0.77,332.92,96.31,10.00,1.00,10:1,311.41,,,332.92,96.31,,0,73
Random Search,20260607,15,rs_r15_003_tl120_dt5_ge13_qr18_tau72,120,5,13,0.18,0.72,160.92,93.17,10.00,1.00,10:1,154.76,,,160.92,93.17,,1,20
Random Search,20260607,15,rs_r15_004_tl113_dt244_ge32_qr96_tau75,113,244,32,0.96,0.75,264.92,95.88,10.00,1.00,10:1,249.55,,,264.92,95.88,,0,36
Random Search,20260607,15,rs_r15_005_tl20_dt207_ge48_qr9_tau75,20,207,48,0.09,0.75,188.92,83.55,10.00,1.00,10:1,179.34,,,188.92,83.55,,1,27
Random Search,20260607,15,rs_r15_006_tl68_dt217_ge48_qr89_tau72,68,217,48,0.89,0.72,303.92,80.26,10.00,1.00,10:1,283.59,,,303.92,80.26,,0,32
Random Search,20260607,16,rs_r16_001_tl110_dt106_ge45_qr45_tau75,110,106,45,0.45,0.75,192.92,77.83,10.00,1.00,10:1,182.46,,,192.92,77.83,,0,27
Random Search,20260607,16,rs_r16_002_tl60_dt214_ge18_qr48_tau87,60,214,18,0.48,0.87,404.92,82.18,10.00,1.00,10:1,375.58,,,404.92,82.18,,0,63
Random Search,20260607,16,rs_r16_003_tl53_dt219_ge13_qr38_tau86,53,219,13,0.38,0.86,309.92,89.75,10.00,1.00,10:1,289.90,,,309.92,89.75,,0,62
Random Search,20260607,16,rs_r16_004_tl39_dt243_ge38_qr97_tau85,39,243,38,0.97,0.85,274.92,87.44,10.00,1.00,10:1,257.88,,,274.92,87.44,,0,36
Random Search,20260607,16,rs_r16_005_tl104_dt200_ge33_qr49_tau72,104,200,33,0.49,0.72,286.92,89.91,10.00,1.00,10:1,269.01,,,286.92,89.91,,0,35
Random Search,20260607,16,rs_r16_006_tl35_dt190_ge2_qr74_tau87,35,190,2,0.74,0.87,258.92,89.98,10.00,1.00,10:1,243.56,,,258.92,89.98,,0,87
Random Search,20260607,17,rs_r17_001_tl37_dt105_ge47_qr11_tau70,37,105,47,0.11,0.7,270.92,82.38,10.00,1.00,10:1,253.78,,,270.92,82.38,,1,29
Random Search,20260607,17,rs_r17_002_tl46_dt57_ge41_qr64_tau73,46,57,41,0.64,0.73,171.92,78.19,10.00,1.00,10:1,163.40,,,171.92,78.19,,0,27
Random Search,20260607,17,rs_r17_003_tl52_dt157_ge4_qr3_tau81,52,157,4,0.03,0.81,379.92,88.15,10.00,1.00,10:1,353.40,,,379.92,88.15,,1,101
Random Search,20260607,17,rs_r17_004_tl57_dt50_ge1_qr9_tau83,57,50,1,0.09,0.83,0.00,63.09,10.00,1.00,10:1,5.74,,,0.00,63.09,,0,0
Random Search,20260607,17,rs_r17_005_tl65_dt219_ge3_qr90_tau76,65,219,3,0.9,0.76,309.92,87.06,10.00,1.00,10:1,289.66,,,309.92,87.06,,0,92
Random Search,20260607,17,rs_r17_006_tl17_dt48_ge49_qr42_tau82,17,48,49,0.42,0.82,187.92,88.30,10.00,1.00,10:1,178.86,,,187.92,88.30,,0,23
Random Search,20260607,18,rs_r18_001_tl96_dt120_ge44_qr1_tau70,96,120,44,0.01,0.7,306.92,86.00,10.00,1.00,10:1,286.84,,,306.92,86.00,,1,31
Random Search,20260607,18,rs_r18_002_tl36_dt40_ge9_qr69_tau89,36,40,9,0.69,0.89,233.92,76.38,10.00,1.00,10:1,219.60,,,233.92,76.38,,0,53
Random Search,20260607,18,rs_r18_003_tl31_dt79_ge6_qr54_tau70,31,79,6,0.54,0.7,253.92,94.41,10.00,1.00,10:1,239.42,,,253.92,94.41,,0,69
Random Search,20260607,18,rs_r18_004_tl102_dt61_ge43_qr79_tau86,102,61,43,0.79,0.86,256.92,75.75,10.00,1.00,10:1,240.45,,,256.92,75.75,,0,29
Random Search,20260607,18,rs_r18_005_tl69_dt186_ge22_qr9_tau86,69,186,22,0.09,0.86,170.92,84.52,10.00,1.00,10:1,163.07,,,170.92,84.52,,1,38
Random Search,20260607,18,rs_r18_006_tl85_dt106_ge9_qr33_tau88,85,106,9,0.33,0.88,326.92,88.67,10.00,1.00,10:1,305.26,,,326.92,88.67,,0,73
Random Search,20260607,19,rs_r19_001_tl61_dt172_ge23_qr49_tau81,61,172,23,0.49,0.81,193.92,77.51,10.00,1.00,10:1,183.34,,,193.92,77.51,,0,37
Random Search,20260607,19,rs_r19_002_tl66_dt7_ge29_qr82_tau80,66,7,29,0.82,0.8,181.92,80.09,10.00,1.00,10:1,172.66,,,181.92,80.09,,0,18
Random Search,20260607,19,rs_r19_003_tl56_dt99_ge47_qr11_tau70,56,99,47,0.11,0.7,234.92,83.21,10.00,1.00,10:1,221.13,,,234.92,83.21,,1,28
Random Search,20260607,19,rs_r19_004_tl1_dt130_ge26_qr57_tau86,1,130,26,0.57,0.86,0.00,64.59,10.00,1.00,10:1,5.87,,,0.00,64.59,,0,0
Random Search,20260607,19,rs_r19_005_tl42_dt107_ge42_qr87_tau75,42,107,42,0.87,0.75,207.92,80.20,10.00,1.00,10:1,196.31,,,207.92,80.20,,0,29
Random Search,20260607,19,rs_r19_006_tl86_dt198_ge13_qr68_tau89,86,198,13,0.68,0.89,274.92,91.92,10.00,1.00,10:1,258.28,,,274.92,91.92,,0,60
Random Search,20260607,20,rs_r20_001_tl30_dt123_ge23_qr79_tau74,30,123,23,0.79,0.74,189.92,75.89,10.00,1.00,10:1,179.55,,,189.92,75.89,,0,37
Random Search,20260607,20,rs_r20_002_tl50_dt232_ge31_qr19_tau80,50,232,31,0.19,0.8,0.00,66.60,10.00,1.00,10:1,6.05,,,0.00,66.60,,0,0
Random Search,20260607,20,rs_r20_003_tl27_dt153_ge13_qr91_tau70,27,153,13,0.91,0.7,204.92,96.22,10.00,1.00,10:1,195.04,,,204.92,96.22,,0,51
Random Search,20260607,20,rs_r20_004_tl8_dt179_ge35_qr6_tau89,8,179,35,0.06,0.89,336.92,90.23,10.00,1.00,10:1,314.49,,,336.92,90.23,,1,41
Random Search,20260607,20,rs_r20_005_tl91_dt147_ge40_qr35_tau71,91,147,40,0.35,0.71,297.92,84.08,10.00,1.00,10:1,278.48,,,297.92,84.08,,0,35
Random Search,20260607,20,rs_r20_006_tl61_dt132_ge18_qr58_tau71,61,132,18,0.58,0.71,404.92,82.18,10.00,1.00,10:1,375.58,,,404.92,82.18,,0,63
Random Search,20260607,21,rs_r21_001_tl17_dt210_ge38_qr52_tau73,17,210,38,0.52,0.73,160.92,83.80,10.00,1.00,10:1,153.91,,,160.92,83.80,,0,27
Random Search,20260607,21,rs_r21_002_tl119_dt193_ge10_qr3_tau77,119,193,10,0.03,0.77,371.92,84.88,10.00,1.00,10:1,345.83,,,371.92,84.88,,1,79
Random Search,20260607,21,rs_r21_003_tl73_dt105_ge15_qr34_tau82,73,105,15,0.34,0.82,330.92,87.38,10.00,1.00,10:1,308.78,,,330.92,87.38,,0,61
Random Search,20260607,21,rs_r21_004_tl51_dt72_ge12_qr93_tau74,51,72,12,0.93,0.74,356.92,88.84,10.00,1.00,10:1,332.55,,,356.92,88.84,,0,71
Random Search,20260607,21,rs_r21_005_tl114_dt90_ge5_qr74_tau80,114,90,5,0.74,0.8,385.92,97.84,10.00,1.00,10:1,359.73,,,385.92,97.84,,0,97
Random Search,20260607,21,rs_r21_006_tl107_dt119_ge35_qr1_tau85,107,119,35,0.01,0.85,190.92,91.92,10.00,1.00,10:1,181.92,,,190.92,91.92,,1,31
Random Search,20260607,22,rs_r22_001_tl49_dt46_ge29_qr70_tau79,49,46,29,0.7,0.79,161.92,77.91,10.00,1.00,10:1,154.28,,,161.92,77.91,,0,28
Random Search,20260607,22,rs_r22_002_tl54_dt231_ge49_qr41_tau86,54,231,49,0.41,0.86,302.92,79.03,10.00,1.00,10:1,282.57,,,302.92,79.03,,0,31
Random Search,20260607,22,rs_r22_003_tl119_dt203_ge11_qr73_tau83,119,203,11,0.73,0.83,0.00,83.49,10.00,1.00,10:1,7.59,,,0.00,83.49,,0,0
Random Search,20260607,22,rs_r22_004_tl21_dt87_ge5_qr36_tau74,21,87,5,0.36,0.74,330.92,103.86,10.00,1.00,10:1,310.28,,,330.92,103.86,,0,80
Random Search,20260607,22,rs_r22_005_tl113_dt183_ge33_qr35_tau84,113,183,33,0.35,0.84,286.92,89.91,10.00,1.00,10:1,269.01,,,286.92,89.91,,0,35
Random Search,20260607,22,rs_r22_006_tl88_dt207_ge44_qr12_tau86,88,207,44,0.12,0.86,306.92,86.00,10.00,1.00,10:1,286.84,,,306.92,86.00,,1,31
Random Search,20260607,23,rs_r23_001_tl32_dt51_ge24_qr59_tau72,32,51,24,0.59,0.72,0.00,80.03,10.00,1.00,10:1,7.28,,,0.00,80.03,,0,0
Random Search,20260607,23,rs_r23_002_tl118_dt211_ge36_qr67_tau71,118,211,36,0.67,0.71,288.92,84.10,10.00,1.00,10:1,270.30,,,288.92,84.10,,0,34
Random Search,20260607,23,rs_r23_003_tl57_dt187_ge6_qr11_tau78,57,187,6,0.11,0.78,414.92,96.50,10.00,1.00,10:1,385.97,,,414.92,96.50,,1,97
Random Search,20260607,23,rs_r23_004_tl94_dt22_ge39_qr75_tau75,94,22,39,0.75,0.75,145.92,75.50,10.00,1.00,10:1,139.52,,,145.92,75.50,,0,17
Random Search,20260607,23,rs_r23_005_tl74_dt31_ge46_qr67_tau72,74,31,46,0.67,0.72,137.92,85.26,10.00,1.00,10:1,133.13,,,137.92,85.26,,0,18
Random Search,20260607,23,rs_r23_006_tl110_dt70_ge3_qr3_tau75,110,70,3,0.03,0.75,327.92,83.96,10.00,1.00,10:1,305.74,,,327.92,83.96,,1,92
Random Search,20260607,24,rs_r24_001_tl69_dt13_ge5_qr61_tau90,69,13,5,0.61,0.9,146.92,80.25,10.00,1.00,10:1,140.86,,,146.92,80.25,,0,28
Random Search,20260607,24,rs_r24_002_tl15_dt189_ge43_qr12_tau83,15,189,43,0.12,0.83,251.92,79.27,10.00,1.00,10:1,236.22,,,251.92,79.27,,1,30
Random Search,20260607,24,rs_r24_003_tl93_dt79_ge9_qr49_tau77,93,79,9,0.49,0.77,274.92,89.25,10.00,1.00,10:1,258.04,,,274.92,89.25,,0,66
Random Search,20260607,24,rs_r24_004_tl103_dt122_ge27_qr50_tau88,103,122,27,0.5,0.88,222.92,77.46,10.00,1.00,10:1,209.70,,,222.92,77.46,,0,38
Random Search,20260607,24,rs_r24_005_tl99_dt76_ge17_qr34_tau72,99,76,17,0.34,0.72,288.92,90.93,10.00,1.00,10:1,270.92,,,288.92,90.93,,0,55
Random Search,20260607,24,rs_r24_006_tl105_dt77_ge1_qr43_tau90,105,77,1,0.43,0.9,256.92,90.45,10.00,1.00,10:1,241.79,,,256.92,90.45,,0,90
Random Search,20260607,25,rs_r25_001_tl26_dt0_ge47_qr37_tau73,26,0,47,0.37,0.73,198.92,81.83,10.00,1.00,10:1,188.28,,,198.92,81.83,,0,26
Random Search,20260607,25,rs_r25_002_tl45_dt51_ge13_qr20_tau78,45,51,13,0.2,0.78,271.92,93.29,10.00,1.00,10:1,255.68,,,271.92,93.29,,1,54
Random Search,20260607,25,rs_r25_003_tl111_dt15_ge45_qr1_tau77,111,15,45,0.01,0.77,137.92,83.00,10.00,1.00,10:1,132.93,,,137.92,83.00,,1,18
Random Search,20260607,25,rs_r25_004_tl112_dt47_ge38_qr73_tau78,112,47,38,0.73,0.78,151.92,87.73,10.00,1.00,10:1,146.08,,,151.92,87.73,,0,24
