tls_id,profile_role,source,source_itst_id,source_eqmn_id,source_tls_id,movement_ids,mapped_segments,route_order_min,cycle_sec,main_green_sec,side_green_sec,yellow_sec,offset_sec,confidence,dominant_api_field,dominant_remaining_sec,inference_reason,status,before_cycle_sec,after_cycle_sec,phase_count,main_phase_indices,yellow_phase_count
CSV_TLS_S03_S04_TOYOKO_INN_HOTEL_FRONT,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,6813,,CSV_TLS_S03_S04_TOYOKO_INN_HOTEL_FRONT,B4_MOVEMENT_02,S3:upbound,12.0,110,56,48,3,57,0.55,,0.0,"no direct API timing hit; used direct T-Data profile average route-family timing; demand-proportional mapwide adjustment count=601.0, factor=0.656",APPLIED_MAINROAD_SEMANTIC,105.0,110,4,0,2
CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,92,,CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,B4_MOVEMENT_01,S2:upbound,10.0,110,46,58,3,48,0.55,,0.0,"no direct API timing hit; used direct T-Data profile average route-family timing; demand-proportional mapwide adjustment count=573.0, factor=0.651",APPLIED_MAINROAD_SEMANTIC,105.0,110,4,0,2
CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,7789,,CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,B4_MOVEMENT_00,S1:upbound,6.0,110,51,53,3,28,0.55,,0.0,"no direct API timing hit; used direct T-Data profile average route-family timing; demand-proportional mapwide adjustment count=485.0, factor=0.631",APPLIED_MAINROAD_SEMANTIC,105.0,110,4,0,2
10299171845,global_average_fallback,realistic_API_measured_route_family_fallback,574,,average,,,0.0,105,46,53,3,96,0.32,,0.0,"nearest A008=장충체육관 (99.2m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=0.025",APPLIED_RATIO_PRESERVED,90.0,105,4,,2
11059693772,global_average_fallback,realistic_API_measured_route_family_fallback,859,,average,,,0.0,95,36,53,3,25,0.32,,0.0,"nearest A008=힐튼호텔 (7.4m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=-0.225",APPLIED_RATIO_PRESERVED,90.0,95,3,,1
11203059755,global_location_direct,A008_global_TData_SPAT_direct,648,CIB1070033700,11203059755,,,0.0,130,65,59,3,67,0.702,neBssgRmdrCs,64.611,"nearest A008=퇴계로2가; timing hit for itstId=648; G/Y/R inferred from RmdrCs remaining-time statistics, not direct API color durations; demand-proportional mapwide adjustment count=16.0, factor=0.135",APPLIED_RATIO_PRESERVED,90.0,130,3,,1
11203059756,global_location_direct,A008_global_TData_SPAT_direct,648,CIB1070033700,11203059756,,,0.0,130,65,59,3,67,0.702,neBssgRmdrCs,64.611,"nearest A008=퇴계로2가; timing hit for itstId=648; G/Y/R inferred from RmdrCs remaining-time statistics, not direct API color durations; demand-proportional mapwide adjustment count=0.0, factor=-0.2",APPLIED_RATIO_PRESERVED,90.0,130,3,,1
11203059757,global_location_direct,A008_global_TData_SPAT_direct,648,CIB1070033700,11203059757,,,0.0,130,65,59,3,67,0.714,neBssgRmdrCs,64.611,"nearest A008=퇴계로2가; timing hit for itstId=648; G/Y/R inferred from RmdrCs remaining-time statistics, not direct API color durations; demand-proportional mapwide adjustment count=0.0, factor=-0.2",APPLIED_RATIO_PRESERVED,90.0,130,3,,1
1327210743,global_average_fallback,realistic_API_measured_route_family_fallback,5619,,average,,,0.0,110,51,53,3,95,0.32,,0.0,"nearest A008=엠버서더호텔(연등) (152.8m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=0.025",APPLIED_RATIO_PRESERVED,90.0,110,4,,2
13732389937,global_location_direct,A008_global_TData_SPAT_direct,369,CIB1210102800,13732389937,,,0.0,90,45,39,3,65,0.673,wtLtsgRmdrCs,81.759,"nearest A008=을지로1가; timing hit for itstId=369; G/Y/R inferred from RmdrCs remaining-time statistics, not direct API color durations; demand-proportional mapwide adjustment count=0.0, factor=-0.1",APPLIED_RATIO_PRESERVED,90.0,90,4,,2
13732389938,global_location_direct,A008_global_TData_SPAT_direct,369,CIB1210102800,13732389938,,,0.0,90,45,39,3,64,0.64,wtLtsgRmdrCs,81.759,"nearest A008=을지로1가; timing hit for itstId=369; G/Y/R inferred from RmdrCs remaining-time statistics, not direct API color durations; demand-proportional mapwide adjustment count=0.0, factor=-0.05",APPLIED_RATIO_PRESERVED,90.0,90,4,,2
1908148229,global_location_direct,A008_global_TData_SPAT_direct,648,CIB1070033700,1908148229,,,0.0,130,65,59,3,67,0.716,neBssgRmdrCs,64.611,"nearest A008=퇴계로2가; timing hit for itstId=648; G/Y/R inferred from RmdrCs remaining-time statistics, not direct API color durations; demand-proportional mapwide adjustment count=0.0, factor=-0.175",APPLIED_RATIO_PRESERVED,90.0,130,3,,1
1945254547,global_average_fallback,realistic_API_measured_route_family_fallback,7088,,average,,,0.0,110,51,53,3,65,0.32,,0.0,"nearest A008=서울광장 (19.8m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=15.0, factor=0.328",APPLIED_RATIO_PRESERVED,90.0,110,6,,3
2471514433,global_average_fallback,realistic_API_measured_route_family_fallback,5619,,average,,,0.0,115,55,54,3,0,0.32,,0.0,"nearest A008=엠버서더호텔(연등) (9.2m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=0.2",APPLIED_RATIO_PRESERVED,90.0,115,6,,2
3285441969,global_location_direct,A008_global_TData_SPAT_direct,648,CIB1070033700,3285441969,,,0.0,130,65,59,3,67,0.705,neBssgRmdrCs,64.611,"nearest A008=퇴계로2가; timing hit for itstId=648; G/Y/R inferred from RmdrCs remaining-time statistics, not direct API color durations; demand-proportional mapwide adjustment count=24.0, factor=0.18",APPLIED_RATIO_PRESERVED,90.0,130,3,,1
3846493836,global_location_direct,A008_global_TData_SPAT_direct,964,CIB1161096400,3846493836,,,0.0,70,18,46,3,15,0.625,etLtsgRmdrCs,1.9,"nearest A008=엠버서더호텔; timing hit for itstId=964; G/Y/R inferred from RmdrCs remaining-time statistics, not direct API color durations; demand-proportional mapwide adjustment count=0.0, factor=0.025",APPLIED_RATIO_PRESERVED,90.0,70,4,,2
3846495798,global_average_fallback,realistic_API_measured_route_family_fallback,612,,average,,,0.0,95,36,53,3,2,0.32,,0.0,"nearest A008=퇴계로5가 (86.3m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=0.025",APPLIED_RATIO_PRESERVED,90.0,95,4,,2
3846533327,global_average_fallback,realistic_API_measured_route_family_fallback,5091,,average,,,0.0,115,55,54,3,18,0.32,,0.0,"nearest A008=장충초교(경보) (38.6m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=0.25",APPLIED_RATIO_PRESERVED,90.0,115,6,,3
4202879197,global_average_fallback,realistic_API_measured_route_family_fallback,7120,,average,,,0.0,115,55,54,3,7,0.32,,0.0,"nearest A008=을지로4가(연등)3 (105.3m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=0.25",APPLIED_RATIO_PRESERVED,90.0,115,7,,3
4276317241,global_average_fallback,realistic_API_measured_route_family_fallback,4932,,average,,,0.0,115,58,51,3,28,0.32,,0.0,"nearest A008=교육연구정보원(연등)3 (3.4m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=-0.225",APPLIED_RATIO_PRESERVED,90.0,115,3,,1
436849185,global_average_fallback,realistic_API_measured_route_family_fallback,7757,,average,,,0.0,95,36,53,3,62,0.32,,0.0,"nearest A008=조선호텔앞(연등) (203.5m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=-0.05",APPLIED_RATIO_PRESERVED,90.0,95,4,,2
436870729,global_location_direct,A008_global_TData_SPAT_direct,963,CIB1161096300,436870729,,,0.0,140,95,39,3,110,0.896,seLtsgRmdrCs,138.237,"nearest A008=우리은행장충지점; timing hit for itstId=963; G/Y/R inferred from RmdrCs remaining-time statistics, not direct API color durations; demand-proportional mapwide adjustment count=0.0, factor=0.3",APPLIED_RATIO_PRESERVED,90.0,140,8,,4
5161705573,global_average_fallback,realistic_API_measured_route_family_fallback,5343,,average,,,0.0,110,51,53,3,28,0.32,,0.0,"nearest A008=숭례문정류장 (16.7m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=-0.2",APPLIED_RATIO_PRESERVED,90.0,110,3,,1
5172891764,global_average_fallback,realistic_API_measured_route_family_fallback,537,,average,,,0.0,100,41,53,3,52,0.32,,0.0,"nearest A008=명동성당 (36.8m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=16.0, factor=0.135",APPLIED_RATIO_PRESERVED,90.0,100,3,,1
5172891765,global_average_fallback,realistic_API_measured_route_family_fallback,537,,average,,,0.0,100,41,53,3,50,0.32,,0.0,"nearest A008=명동성당 (24.7m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=-0.225",APPLIED_RATIO_PRESERVED,90.0,100,3,,1
5593950705,global_average_fallback,realistic_API_measured_route_family_fallback,5343,,average,,,0.0,115,58,51,3,28,0.32,,0.0,"nearest A008=숭례문정류장 (15.1m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=7.0, factor=0.046",APPLIED_RATIO_PRESERVED,90.0,115,3,,1
5851251281,global_average_fallback,realistic_API_measured_route_family_fallback,5256,,average,,,0.0,105,46,53,3,75,0.32,,0.0,"nearest A008=덕수궁앞 (27.8m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=0.1",APPLIED_RATIO_PRESERVED,90.0,105,4,,2
7265413652,global_average_fallback,realistic_API_measured_route_family_fallback,1136,,average,,,0.0,110,51,53,3,30,0.32,,0.0,"nearest A008=교육연구정보원(연등)1 (23.0m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=-0.225",APPLIED_RATIO_PRESERVED,90.0,110,3,,1
7311080426,global_average_fallback,realistic_API_measured_route_family_fallback,537,,average,,,0.0,105,46,53,3,55,0.32,,0.0,"nearest A008=명동성당 (42.7m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=-0.175",APPLIED_RATIO_PRESERVED,90.0,105,3,,1
8209566040,global_average_fallback,realistic_API_measured_route_family_fallback,6027,,average,,,0.0,110,51,53,3,84,0.32,,0.0,"nearest A008=동대문밀리오레앞 (19.6m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=-0.2",APPLIED_RATIO_PRESERVED,90.0,110,3,,1
8209566041,global_average_fallback,realistic_API_measured_route_family_fallback,6027,,average,,,0.0,95,36,53,3,90,0.32,,0.0,"nearest A008=동대문밀리오레앞 (15.9m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=-0.15",APPLIED_RATIO_PRESERVED,90.0,95,3,,1
8487751470,global_average_fallback,realistic_API_measured_route_family_fallback,612,,average,,,0.0,95,36,53,3,1,0.32,,0.0,"nearest A008=퇴계로5가 (126.0m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=0.025",APPLIED_RATIO_PRESERVED,90.0,95,4,,2
COMPACT_V9_FIRE_STATION_ENTRY_TLS,virtual_merge_control,virtual_merge_tls_preserved_no_A008_claim,,,COMPACT_V9_FIRE_STATION_ENTRY_TLS,,virtual_merge_control,0.0,60,45,12,3,0,1.0,,0.0,Preserved virtual fire-station merge TLS; excluded from physical A008/T-Data mapping.,PRESERVED_VIRTUAL,60.0,60.0,3,,1
cluster_11177413157_11178710207,global_average_fallback,realistic_API_measured_route_family_fallback,5921,,average,,,0.0,100,41,53,3,27,0.32,,0.0,"nearest A008=서울스퀘어앞 (14.5m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=-0.175",APPLIED_RATIO_PRESERVED,90.0,100,3,,1
cluster_11203041632_11203041633_11203041634_11203041635_#5more,global_average_fallback,realistic_API_measured_route_family_fallback,192,,average,,,0.0,120,60,54,3,113,0.32,,0.0,"nearest A008=한국은행앞 (1.8m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=15.0, factor=0.728",APPLIED_RATIO_PRESERVED,90.0,120,8,,4
cluster_11277565406_11277565407_11277565408_11277565409_#6more,global_average_fallback,realistic_API_measured_route_family_fallback,611,,average,,,0.0,125,65,54,3,99,0.32,,0.0,"nearest A008=시청 (13.4m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=1.0",APPLIED_RATIO_PRESERVED,90.0,125,8,,4
cluster_11347624895_11414286294,global_average_fallback,realistic_API_measured_route_family_fallback,7087,,average,,,0.0,105,41,58,3,91,0.32,,0.0,"nearest A008=삼성본관 (73.0m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=0.275",APPLIED_RATIO_PRESERVED,90.0,105,8,,4
cluster_12785870414_3337522189,global_average_fallback,realistic_API_measured_route_family_fallback,7119,,average,,,0.0,100,41,53,3,90,0.32,,0.0,"nearest A008=을지로4가(연등)2 (23.4m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=-0.025",APPLIED_RATIO_PRESERVED,90.0,100,4,,2
cluster_1326096615_3849700763,global_average_fallback,realistic_API_measured_route_family_fallback,5409,,average,,,0.0,110,51,53,3,50,0.32,,0.0,"nearest A008=충무아트센터 (65.5m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=8.0, factor=0.635",APPLIED_RATIO_PRESERVED,90.0,110,11,,5
cluster_13348293702_13348293703_414685829,global_location_direct,A008_global_TData_SPAT_direct,371,CIB1231037100,cluster_13348293702_13348293703_414685829,,,0.0,110,45,59,3,99,0.9,etLtsgRmdrCs,98.551,"nearest A008=오장동사거리; timing hit for itstId=371; G/Y/R inferred from RmdrCs remaining-time statistics, not direct API color durations; demand-proportional mapwide adjustment count=8.0, factor=0.36",APPLIED_RATIO_PRESERVED,90.0,110,4,,2
cluster_2374692784_2374692803,global_average_fallback,realistic_API_measured_route_family_fallback,1239,,average,,,0.0,120,60,54,3,109,0.32,,0.0,"nearest A008=티마크호텔 (156.5m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=8.0, factor=0.51",APPLIED_RATIO_PRESERVED,90.0,120,8,,3
cluster_2457731125_436856300,global_average_fallback,realistic_API_measured_route_family_fallback,859,,average,,,0.0,115,55,54,3,31,0.32,,0.0,"nearest A008=힐튼호텔 (41.8m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=-0.175",APPLIED_SINGLE_PHASE_REPAIRED,90.0,115,4,0,1
cluster_3846493853_3846493855_3846493856,global_average_fallback,realistic_API_measured_route_family_fallback,5619,,average,,,0.0,120,60,54,3,25,0.32,,0.0,"nearest A008=엠버서더호텔(연등) (70.5m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=0.4",APPLIED_RATIO_PRESERVED,90.0,120,13,,5
cluster_3846534041_436877431,global_average_fallback,realistic_API_measured_route_family_fallback,6813,,average,,,0.0,95,36,53,3,12,0.32,,0.0,"nearest A008=토요코인호텔앞 (13.0m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=0.025",APPLIED_RATIO_PRESERVED,90.0,95,4,,2
cluster_4276316582_436883143,global_average_fallback,realistic_API_measured_route_family_fallback,859,,average,,,0.0,105,46,53,3,46,0.32,,0.0,"nearest A008=힐튼호텔 (33.2m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=-0.05",APPLIED_RATIO_PRESERVED,90.0,105,6,,3
joinedS_11139302899_11139302904_11178710208_cluster_11139302901_4704751520_5593950663_5593950669_#1more_#1more,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,475,,joinedS_11139302899_11139302904_11178710208_cluster_11139302901_4704751520_5593950663_5593950669_#1more_#1more,,,16.0,115,56,53,3,76,0.55,,0.0,"no direct API timing hit; used direct T-Data profile average route-family timing; demand-proportional mapwide adjustment count=135.0, factor=1.0",APPLIED_MAINROAD_SEMANTIC,105.0,115,4,0,2
joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,122,,joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,B4_MOVEMENT_11,S15:upbound,50.0,115,51,58,3,30,0.55,,0.0,"no direct API timing hit; used direct T-Data profile average route-family timing; demand-proportional mapwide adjustment count=570.0, factor=1.0",APPLIED_MAINROAD_SEMANTIC,105.0,115,4,0,2
joinedS_11203083989_11203083990_11203083991_11203083992_#1more,global_average_fallback,realistic_API_measured_route_family_fallback,398,,average,,,0.0,115,56,53,3,28,0.32,,0.0,"nearest A008=을지로2가 (1.4m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=0.5",APPLIED_RATIO_PRESERVED,90.0,115,4,,2
joinedS_11209914859_cluster_11209914851_11209914852_11209914857_11209914858_#9more,global_location_direct,A008_global_TData_SPAT_direct,374,CIB1021037400,joinedS_11209914859_cluster_11209914851_11209914852_11209914857_11209914858_#9more,,,0.0,70,30,34,3,30,0.669,seStsgRmdrCs,29.587,"nearest A008=염천교; timing hit for itstId=374; G/Y/R inferred from RmdrCs remaining-time statistics, not direct API color durations; demand-proportional mapwide adjustment count=0.0, factor=0.25",APPLIED_RATIO_PRESERVED,90.0,70,6,,3
joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,649,,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,B4_MOVEMENT_06 B4_MOVEMENT_07,S9:upbound,37.0,115,61,48,3,72,0.55,,0.0,"no direct API timing hit; used direct T-Data profile average route-family timing; demand-proportional mapwide adjustment count=1088.0, factor=1.0",APPLIED_MAINROAD_SEMANTIC,105.0,115,6,0 2,3
joinedS_11414286323_cluster_11414286309_7666741014,global_average_fallback,realistic_API_measured_route_family_fallback,7087,,average,,,0.0,95,36,53,3,89,0.32,,0.0,"nearest A008=삼성본관 (26.7m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=0.25",APPLIED_RATIO_PRESERVED,90.0,95,8,,4
joinedS_3846493837_cluster_2515564080_436883154,global_location_direct,A008_global_TData_SPAT_direct,964,CIB1161096400,joinedS_3846493837_cluster_2515564080_436883154,,,0.0,70,18,46,3,14,0.685,etLtsgRmdrCs,1.9,"nearest A008=엠버서더호텔; timing hit for itstId=964; G/Y/R inferred from RmdrCs remaining-time statistics, not direct API color durations; demand-proportional mapwide adjustment count=0.0, factor=0.3",APPLIED_RATIO_PRESERVED,90.0,70,6,,3
joinedS_4276255151_cluster_4276255149_4276255150_4276255152_436839431,global_average_fallback,realistic_API_measured_route_family_fallback,592,,average,,,0.0,105,46,53,3,90,0.32,,0.0,"nearest A008=중구청 (15.0m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=0.0, factor=0.0",APPLIED_RATIO_PRESERVED,90.0,105,4,,2
joinedS_7121587905_cluster_11203001806_11203001809_11203001810_11203001814_#12more_cluster_11203001812_13639573216_13721232723_13721232725_#1more_cluster_11203001813_13721232726_#1more,global_average_fallback,realistic_API_measured_route_family_fallback,625,,average,,,0.0,115,56,53,3,17,0.32,,0.0,"nearest A008=숭례문 (22.3m), no direct timing hit; used measured T-Data profile average route-family timing; demand-proportional mapwide adjustment count=21.0, factor=1.0",APPLIED_RATIO_PRESERVED,407.0,115,22,,11
joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,612,,joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,B4_MOVEMENT_04,S6:upbound,23.0,115,66,43,3,5,0.55,,0.0,"no direct API timing hit; used direct T-Data profile average route-family timing; demand-proportional mapwide adjustment count=945.0, factor=1.0",APPLIED_MAINROAD_SEMANTIC,105.0,115,4,0,2
