from_edge,to_edge,via,status,before_length_m,after_length_m,before_midpoint_offset_m,reason
218773868#4,218773868#5,:3846495825_1_0,PASS,24.329,18.371,3.325,route_internal_lane_straightened
218773868#4,218773868#5,:3846495825_1_1,PASS,24.327,18.371,3.323,route_internal_lane_straightened
218773868#5,218773868#6,:3547031098_1_0,PASS,17.783,14.518,0.002,route_internal_lane_straightened
218773868#5,218773868#6,:3547031098_1_1,PASS,17.729,14.47,0.007,route_internal_lane_straightened
218773868#6,-1455512070,:3846495820_0_0,PASS,14.65,11.9,3.565,route_internal_lane_straightened
218773868#6,-1455512070,:3846495820_0_1,PASS,14.599,11.85,3.565,route_internal_lane_straightened
218773869#1,218773869#3,:cluster_3846576186_3846576188_2_0,PASS,35.508,32.265,0.0,route_internal_lane_straightened
218773869#1,218773869#3,:cluster_3846576186_3846576188_2_1,PASS,35.578,32.335,0.0,route_internal_lane_straightened
218773869#1,218773869#3,:cluster_3846576186_3846576188_2_2,PASS,35.651,32.411,0.0,route_internal_lane_straightened
218773869#3,218773869#4,:3269820249_2_0,PASS,14.49,11.229,1.636,route_internal_lane_straightened
218773869#3,218773869#4,:3269820249_2_1,PASS,14.427,11.166,1.636,route_internal_lane_straightened
218773869#3,218773869#4,:3269820249_2_2,PASS,14.367,11.103,1.636,route_internal_lane_straightened
218773869#4,218773869#5,:3269822954_0_0,PASS,9.922,9.907,0.0,route_internal_lane_straightened
218773869#4,218773869#5,:3269822954_0_1,PASS,10.068,10.053,0.0,route_internal_lane_straightened
218773869#4,218773869#5,:3269822954_0_2,PASS,10.233,10.189,0.01,route_internal_lane_straightened
218773869#5,218773869#6,:cluster_10294539232_2784743529_2_0,PASS,17.606,13.532,0.883,route_internal_lane_straightened
218773869#5,218773869#6,:cluster_10294539232_2784743529_2_1,PASS,17.471,13.408,0.871,route_internal_lane_straightened
218773869#5,218773869#6,:cluster_10294539232_2784743529_2_2,PASS,17.337,13.282,0.883,route_internal_lane_straightened
218773869#6,218773869#7,:cluster_10294539237_3846576172_3_0,PASS,18.009,13.749,2.511,route_internal_lane_straightened
218773869#6,218773869#7,:cluster_10294539237_3846576172_3_1,PASS,17.895,13.151,2.998,route_internal_lane_straightened
218773869#6,218773869#7,:cluster_10294539237_3846576172_3_2,PASS,17.791,12.572,3.469,route_internal_lane_straightened
218773869#7,218773869#8,:7335400049_0_0,PASS,0.1,0.1,0.0,route_internal_lane_straightened
218773869#7,218773869#8,:7335400049_0_1,PASS,0.304,0.304,0.0,route_internal_lane_straightened
218773869#7,218773869#8,:7335400049_0_2,PASS,0.495,0.495,0.0,route_internal_lane_straightened
218773869#8,218773869#9,:11346754523_0_0,PASS,0.301,6.318,0.009,route_internal_lane_straightened
218773869#8,218773869#9,:11346754523_0_1,PASS,0.303,6.31,0.004,route_internal_lane_straightened
218773869#8,218773869#9,:11346754523_0_2,PASS,0.292,6.298,0.009,route_internal_lane_straightened
218773869#9,219696193#1,:cluster_11346754525_11346754526_2784736947_414685366_#2more_1_0,PASS,21.885,27.211,10.076,route_internal_lane_straightened
218773869#9,219696193#1,:cluster_11346754525_11346754526_2784736947_414685366_#2more_1_1,PASS,22.258,27.51,9.851,route_internal_lane_straightened
218915135#3,218915135#4,:8484958062_2_0,PASS,27.351,18.253,4.067,route_internal_lane_straightened
218915135#3,218915135#4,:8484958062_2_1,PASS,27.395,18.294,4.067,route_internal_lane_straightened
218915135#3,218915135#4,:8484958062_2_2,PASS,27.446,18.348,4.067,route_internal_lane_straightened
218915135#4,781983104#0,:cluster_10864285557_3217915254_7300992880_9357585533_5_0,PASS,11.808,11.767,20.673,route_internal_lane_straightened
218915135#4,781983104#0,:cluster_10864285557_3217915254_7300992880_9357585533_5_1,PASS,12.02,11.979,20.551,route_internal_lane_straightened
218915135#4,781983104#0,:cluster_10864285557_3217915254_7300992880_9357585533_5_2,PASS,12.251,12.21,20.425,route_internal_lane_straightened
219696193#1,219696193#2,:2374697789_1_0,PASS,14.452,14.475,1.591,route_internal_lane_straightened
219696193#1,219696193#2,:2374697789_1_1,PASS,14.532,14.566,1.601,route_internal_lane_straightened
219696193#2,781985793#0,:10864285556_1_0,PASS,14.509,14.554,0.0,route_internal_lane_straightened
219696193#2,781985793#0,:10864285556_1_1,PASS,14.73,14.773,0.0,route_internal_lane_straightened
333557072#1,333557072#2,:10727322978_0_0,PASS,0.362,6.91,22.085,route_internal_lane_straightened
333557072#1,333557072#2,:10727322978_0_1,PASS,0.282,6.834,22.106,route_internal_lane_straightened
333557072#1,333557072#2,:10727322978_0_2,PASS,0.201,6.772,22.108,route_internal_lane_straightened
333557072#2,333557072#3,:7669821053_0_0,PASS,9.028,9.018,0.01,route_internal_lane_straightened
333557072#2,333557072#3,:7669821053_0_1,PASS,9.023,9.023,0.0,route_internal_lane_straightened
333557072#2,333557072#3,:7669821053_0_2,PASS,9.028,9.018,0.01,route_internal_lane_straightened
333557072#3,333557072#5,:cluster_6111866303_7195225084_2_0,PASS,43.268,44.689,0.009,route_internal_lane_straightened
333557072#3,333557072#5,:cluster_6111866303_7195225084_2_1,PASS,43.268,44.698,0.006,route_internal_lane_straightened
333557072#3,333557072#5,:cluster_6111866303_7195225084_2_2,PASS,43.268,44.685,0.01,route_internal_lane_straightened
333557072#5,619147738#0,:5851251703_0_0,PASS,19.14,20.49,29.9,route_internal_lane_straightened
333557072#5,619147738#0,:5851251703_0_1,PASS,19.14,20.49,29.9,route_internal_lane_straightened
333557072#5,619147738#0,:5851251703_0_2,PASS,19.14,20.481,29.9,route_internal_lane_straightened
347237859#0,347237859#1,:cluster_2087933382_3285441963_1_0,PASS,14.117,14.632,0.536,route_internal_lane_straightened
347237859#0,347237859#1,:cluster_2087933382_3285441963_1_1,PASS,13.861,14.376,0.527,route_internal_lane_straightened
347237859#1,347237859#2,:cluster_2753218990_7495868732_0_0,PASS,16.582,13.38,18.658,route_internal_lane_straightened
347237859#1,347237859#2,:cluster_2753218990_7495868732_0_1,PASS,16.745,13.543,18.658,route_internal_lane_straightened
347237859#1,347237859#2,:cluster_2753218990_7495868732_0_2,PASS,16.904,13.704,18.666,route_internal_lane_straightened
347237859#2,347237859#3,:1908868479_2_0,PASS,14.402,11.2,1.6,route_internal_lane_straightened
347237859#2,347237859#3,:1908868479_2_1,PASS,14.393,11.199,1.591,route_internal_lane_straightened
347237859#2,347237859#3,:1908868479_2_2,PASS,14.392,11.199,1.59,route_internal_lane_straightened
347237859#3,347237859#4,:1327214749_0_0,PASS,11.038,11.038,0.0,route_internal_lane_straightened
347237859#3,347237859#4,:1327214749_0_1,PASS,11.048,11.038,0.01,route_internal_lane_straightened
347237859#3,347237859#4,:1327214749_0_2,PASS,11.048,11.038,0.01,route_internal_lane_straightened
347237859#4,347237859#5,:9327505096_0_0,PASS,0.291,9.402,14.05,route_internal_lane_straightened
347237859#4,347237859#5,:9327505096_0_1,PASS,0.301,9.402,14.05,route_internal_lane_straightened
347237859#4,347237859#5,:9327505096_0_2,PASS,0.301,9.402,14.05,route_internal_lane_straightened
347237859#5,781985787#0,:2087933412_0_0,PASS,11.347,11.347,0.0,route_internal_lane_straightened
347237859#5,781985787#0,:2087933412_0_1,PASS,11.367,11.367,0.0,route_internal_lane_straightened
347237859#5,781985787#0,:2087933412_0_2,PASS,11.367,11.367,0.0,route_internal_lane_straightened
420331801#1,-174870621#8,:cluster_3849737606_8401234720_8496719924_12_0,PASS,24.384,21.941,3.918,route_internal_lane_straightened
420361196,180445419,:1908148231_0_0,PASS,0.313,5.228,48.218,route_internal_lane_straightened
420361196,180445419,:1908148231_0_1,PASS,0.292,5.218,48.227,route_internal_lane_straightened
428260110,785130600#0,:10864285554_1_0,PASS,14.246,14.448,0.488,route_internal_lane_straightened
428260110,785130600#0,:10864285554_1_1,PASS,13.879,14.083,0.492,route_internal_lane_straightened
578313748#0,578313748#2,:cluster_10608000079_4202697453_0_0,PASS,21.775,20.375,1.4,route_internal_lane_straightened
578313748#0,578313748#2,:cluster_10608000079_4202697453_0_1,PASS,21.634,20.232,1.402,route_internal_lane_straightened
578313748#0,578313748#2,:cluster_10608000079_4202697453_0_2,PASS,21.5,20.088,1.402,route_internal_lane_straightened
578313748#2,800229255,:436877435_0_0,PASS,2.84,6.123,0.0,route_internal_lane_straightened
578313748#2,800229255,:436877435_0_1,PASS,2.903,6.186,0.002,route_internal_lane_straightened
578313748#2,800229255,:436877435_0_2,PASS,2.963,6.254,0.009,route_internal_lane_straightened
619147738#0,619147738#1,:11139302904_0_0,PASS,0.342,0.342,61.81,route_internal_lane_straightened
619147738#0,619147738#1,:11139302904_0_1,PASS,0.284,0.284,61.841,route_internal_lane_straightened
619147738#0,619147738#1,:11139302904_0_2,PASS,0.228,0.228,61.881,route_internal_lane_straightened
781983104#0,781983104#1,:4519241101_2_0,PASS,16.835,13.6,42.414,route_internal_lane_straightened
781983104#0,781983104#1,:4519241101_2_1,PASS,16.312,13.065,42.675,route_internal_lane_straightened
781983104#0,781983104#1,:4519241101_2_2,PASS,15.776,12.535,42.936,route_internal_lane_straightened
781983104#1,333557072#1,:5318242317_0_0,PASS,0.141,7.694,0.09,route_internal_lane_straightened
781983104#1,333557072#1,:5318242317_0_1,PASS,0.426,7.985,0.097,route_internal_lane_straightened
781983104#1,333557072#1,:5318242317_0_2,PASS,0.713,8.258,0.106,route_internal_lane_straightened
781985787#0,218915135#3,:cluster_11203052955_11203052956_11203052960_11203052961_#11more_17_0,PASS,106.697,110.711,40.007,route_internal_lane_straightened
781985793#0,781985793#1,:7168612734_0_0,PASS,0.19,9.461,0.079,route_internal_lane_straightened
781985793#0,781985793#1,:7168612734_0_1,PASS,0.3,9.571,0.085,route_internal_lane_straightened
781985793#1,420361196,:1908148234_2_0,PASS,2.48,2.477,0.06,route_internal_lane_straightened
781985793#1,420361196,:1908148234_2_1,PASS,3.028,3.025,0.06,route_internal_lane_straightened
785130600#0,785130600#1,:7335400044_2_0,PASS,15.157,15.164,2.002,route_internal_lane_straightened
785130600#0,785130600#1,:7335400044_2_1,PASS,15.621,15.625,2.012,route_internal_lane_straightened
785130600#1,785130600#2,:3846542588_2_0,PASS,27.521,35.532,0.076,route_internal_lane_straightened
785130600#1,785130600#2,:3846542588_2_1,PASS,27.254,35.256,0.076,route_internal_lane_straightened
785130600#2,785130600#3,:5863541379_1_0,PASS,14.386,14.386,0.0,route_internal_lane_straightened
785130600#2,785130600#3,:5863541379_1_1,PASS,14.359,14.359,0.0,route_internal_lane_straightened
785130600#3,1455497345,:cluster_436844951_7335400040_0_0,PASS,21.092,21.092,30.598,route_internal_lane_straightened
785130600#3,1455497345,:cluster_436844951_7335400040_0_1,PASS,21.143,21.143,30.598,route_internal_lane_straightened
800229255,180368918#0,:1936511496_3_0,PASS,8.316,8.314,13.871,route_internal_lane_straightened
800229255,180368918#0,:1936511496_3_1,PASS,8.365,8.363,13.875,route_internal_lane_straightened
800229255,180368918#0,:1936511496_3_2,PASS,8.416,8.414,13.869,route_internal_lane_straightened
